Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,a_d_c,117,117,1.00,100.00%
Abstract,a_d_c,117,117,1.00,100.00%
Acknowledgement,a_d_c,191,115,1.63,98.29%
Address,a_d_c,592,117,5.06,100.00%
AssociatedDIFs,a_d_c,261,117,2.23,100.00%
Association,a_d_c,261,117,2.23,100.00%
Attribute Definition,a_d_c,4132,117,35.32,100.00%
Attribute Label,a_d_c,4385,117,37.48,100.00%
Author / Originator,a_d_c,125,117,1.07,100.00%
Bounding Box,a_d_c,88,88,0.75,75.21%
Cited Resource Identifier,a_d_c,2,2,0.02,1.71%
Cited Resource Title,a_d_c,1700,117,14.53,100.00%
City,a_d_c,591,117,5.05,100.00%
Contact Instructions,a_d_c,468,117,4.00,100.00%
Country,a_d_c,579,117,4.95,100.00%
Data Quality Scope,a_d_c,117,117,1.00,100.00%
DataType,a_d_c,1954,117,16.70,100.00%
DimensionsName,a_d_c,4385,117,37.48,100.00%
Distribution Contact,a_d_c,117,117,1.00,100.00%
Easternmost Longitude,a_d_c,88,88,0.75,75.21%
Email,a_d_c,589,117,5.03,100.00%
End Time,a_d_c,9,9,0.08,7.69%
Enumerated Domain Value Definition Source,a_d_c,571,117,4.88,100.00%
Fax,a_d_c,468,117,4.00,100.00%
Feature Catalogue Citation,a_d_c,234,117,2.00,100.00%
First Name,a_d_c,408,117,3.49,100.00%
Geographic Description,a_d_c,117,117,1.00,100.00%
Hours of Service,a_d_c,468,117,4.00,100.00%
Instrument,a_d_c,268,103,2.29,88.03%
Instrument Keyword,a_d_c,268,103,2.29,88.03%
Instrument Keyword Vocabulary,a_d_c,103,103,0.88,88.03%
Instrument Short Name,a_d_c,242,103,2.07,88.03%
Instrument Type,a_d_c,242,103,2.07,88.03%
Keyword,a_d_c,4230,117,36.15,100.00%
Keyword Type,a_d_c,571,117,4.88,100.00%
Keyword Vocabulary,a_d_c,571,117,4.88,100.00%
Keyword Vocabulary Citation,a_d_c,571,117,4.88,100.00%
Last Name,a_d_c,408,117,3.49,100.00%
Metadata Access Constraints,a_d_c,117,117,1.00,100.00%
Metadata Association,a_d_c,261,117,2.23,100.00%
Metadata Contact,a_d_c,117,117,1.00,100.00%
Metadata Dates,a_d_c,117,117,1.00,100.00%
Metadata Identifier,a_d_c,117,117,1.00,100.00%
Metadata Language,a_d_c,117,117,1.00,100.00%
Metadata Modified Date,a_d_c,117,117,1.00,100.00%
Metadata Standard Citation,a_d_c,117,117,1.00,100.00%
Metadata Standard Version,a_d_c,117,117,1.00,100.00%
Middle Name,a_d_c,408,117,3.49,100.00%
Name,a_d_c,4385,117,37.48,100.00%
Naming Authority,a_d_c,2,2,0.02,1.71%
Northernmost Latitude,a_d_c,88,88,0.75,75.21%
Online Resource,a_d_c,536,117,4.58,100.00%
Online Resource Description,a_d_c,419,117,3.58,100.00%
Online Resource Name/Title,a_d_c,261,117,2.23,100.00%
Organization Name,a_d_c,876,117,7.49,100.00%
Other Citation Details,a_d_c,234,117,2.00,100.00%
Paleo Temporal Coverage,a_d_c,9,9,0.08,7.69%
Party,a_d_c,2296,117,19.62,100.00%
Phone,a_d_c,586,117,5.01,100.00%
Place Keyword,a_d_c,117,117,1.00,100.00%
Place Keyword Vocabulary,a_d_c,117,117,1.00,100.00%
Platform Short Name,a_d_c,118,117,1.01,100.00%
Position Name,a_d_c,117,117,1.00,100.00%
Postal_Code,a_d_c,587,117,5.02,100.00%
Process Step,a_d_c,225,117,1.92,100.00%
Process Step Description,a_d_c,225,117,1.92,100.00%
Product Link,a_d_c,116,116,0.99,99.15%
Project Name,a_d_c,144,117,1.23,100.00%
Province or State,a_d_c,588,117,5.03,100.00%
Publication Date,a_d_c,119,117,1.02,100.00%
Publication Information,a_d_c,117,117,1.00,100.00%
Range Domain Units,a_d_c,1092,117,9.33,100.00%
Related Resource Citation,a_d_c,261,117,2.23,100.00%
Related Resource Identifier,a_d_c,667,117,5.70,100.00%
Reprocessing Plan Note,a_d_c,117,117,1.00,100.00%
Resource Access Constraints,a_d_c,234,117,2.00,100.00%
Resource Contact,a_d_c,125,117,1.07,100.00%
Resource Creation/Revision Date,a_d_c,117,117,1.00,100.00%
Resource Identifier,a_d_c,2,2,0.02,1.71%
Resource Language,a_d_c,117,117,1.00,100.00%
Resource Lineage,a_d_c,117,117,1.00,100.00%
Resource Long Name,a_d_c,117,117,1.00,100.00%
Resource Status,a_d_c,117,117,1.00,100.00%
Resource Title,a_d_c,117,117,1.00,100.00%
Resource Type,a_d_c,117,117,1.00,100.00%
Resource Update Frequency,a_d_c,117,117,1.00,100.00%
Resource Use Constraints,a_d_c,117,117,1.00,100.00%
Responsibility,a_d_c,1962,117,16.77,100.00%
Rights,a_d_c,117,117,1.00,100.00%
Role,a_d_c,819,117,7.00,100.00%
Southernmost Latitude,a_d_c,88,88,0.75,75.21%
Spatial Extent,a_d_c,88,88,0.75,75.21%
Standard Name Vocabulary,a_d_c,571,117,4.88,100.00%
Start Time,a_d_c,9,9,0.08,7.69%
Temporal Extent,a_d_c,117,117,1.00,100.00%
Theme Keyword,a_d_c,3106,117,26.55,100.00%
Topic Category,a_d_c,118,117,1.01,100.00%
URL,a_d_c,116,116,0.99,99.15%
Units,a_d_c,4385,117,37.48,100.00%
Unknown,a_d_c,73002,117,623.95,100.00%
VariableType,a_d_c,117,117,1.00,100.00%
Web Page,a_d_c,887,117,7.58,100.00%
Westernmost Longitude,a_d_c,88,88,0.75,75.21%
