Collection,Record,Resource Quality Description,Unknown
2013,20020020.8342.xml,1.0,167.0
2013,20020020.9899.xml,1.0,123.0
2013,20020030.8344.xml,1.0,151.0
2013,20020030.9900.xml,1.0,119.0
2013,20020170.8363.xml,1.0,149.0
2013,20020170.9907.xml,1.0,148.0
2013,20020190.8371.xml,1.0,164.0
2013,20020190.9910.xml,1.0,167.0
2013,20020200.9755.xml,1.0,168.0
2013,20020200.9934.xml,1.0,168.0
2013,20020220.8407.xml,1.0,150.0
2013,20020220.9918.xml,1.0,153.0
2013,20020230.8409.xml,1.0,121.0
2013,20020230.9919.xml,1.0,123.0
2013,20020530.8423.xml,1.0,165.0
2013,20020530.9925.xml,1.0,165.0
2013,20020540.8425.xml,1.0,142.0
2013,20020540.9926.xml,1.0,142.0
2013,20020550.8923.xml,1.0,179.0
2013,20020550.9933.xml,1.0,179.0
2013,20020570.8346.xml,1.0,151.0
2013,20020570.9901.xml,1.0,151.0
2013,20020580.8348.xml,1.0,160.0
2013,20020580.9902.xml,1.0,160.0
2013,20020600.8350.xml,1.0,192.0
2013,20020600.9903.xml,1.0,192.0
2013,20020610.8352.xml,1.0,188.0
2013,20020610.9904.xml,1.0,188.0
2013,20020660.8414.xml,1.0,192.0
2013,20020660.9921.xml,1.0,192.0
2013,20020670.8416.xml,1.0,153.0
2013,20020670.9922.xml,1.0,153.0
2013,20020690.8419.xml,1.0,149.0
2013,20020690.9924.xml,1.0,149.0
2013,20110040.8340.xml,1.0,168.0
2013,20110040.9898.xml,1.0,164.0
2013,20110050.8354.xml,1.0,187.0
2013,20110050.9905.xml,1.0,187.0
2013,20120010.8384.xml,1.0,130.0
2013,20120010.9911.xml,1.0,91.0
2013,20120010.9916.xml,1.0,130.0
2013,20120020.8375.xml,1.0,91.0
2013,20120020.9912.xml,1.0,91.0
2013,20120020.9935.xml,0.0,83.0
2013,20120030.8473.xml,1.0,152.0
2013,20120030.9928.xml,1.0,157.0
2013,20120030.9936.xml,0.0,83.0
2013,20120040.8475.xml,1.0,150.0
2013,20120040.8477.xml,1.0,123.0
2013,20120040.9929.xml,1.0,155.0
2013,20120040.9930.xml,1.0,123.0
2013,20120150.8376.xml,1.0,86.0
2013,20120150.9913.xml,1.0,86.0
