Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2015_EML,74,74,1.00,100.00%
Abstract,2015_EML,74,74,1.00,100.00%
Attribute Definition,2015_EML,861,74,11.64,100.00%
Attribute List,2015_EML,74,74,1.00,100.00%
Author,2015_EML,113,74,1.53,100.00%
Author / Originator,2015_EML,113,74,1.53,100.00%
Author / Originator Email Address,2015_EML,19,18,0.26,24.32%
Bounding Box,2015_EML,1,1,0.01,1.35%
Contributor Name,2015_EML,58,58,0.78,78.38%
Contributor Role,2015_EML,58,58,0.78,78.38%
Distribution Format,2015_EML,74,74,1.00,100.00%
Easternmost Longitude,2015_EML,1,1,0.01,1.35%
End Time,2015_EML,21,21,0.28,28.38%
Entity Type Definition,2015_EML,73,73,0.99,98.65%
Entity and Attribute Information,2015_EML,73,73,0.99,98.65%
Keyword,2015_EML,589,73,7.96,98.65%
Keyword Vocabulary,2015_EML,344,73,4.65,98.65%
Maintenance,2015_EML,71,71,0.96,95.95%
Metadata Access Constraints,2015_EML,74,74,1.00,100.00%
Metadata Contact,2015_EML,73,73,0.99,98.65%
Metadata Use Constraints,2015_EML,74,74,1.00,100.00%
Northernmost Latitude,2015_EML,1,1,0.01,1.35%
Organization Name,2015_EML,242,74,3.27,100.00%
Originating Organization,2015_EML,22,22,0.30,29.73%
Process Step,2015_EML,71,71,0.96,95.95%
Publication Date,2015_EML,74,74,1.00,100.00%
Publisher,2015_EML,74,74,1.00,100.00%
Purpose,2015_EML,1,1,0.01,1.35%
Resource Access Constraints,2015_EML,74,74,1.00,100.00%
Resource Contact,2015_EML,148,74,2.00,100.00%
Resource Creation/Revision Date,2015_EML,74,74,1.00,100.00%
Resource Distribution,2015_EML,74,74,1.00,100.00%
Resource Format,2015_EML,74,74,1.00,100.00%
Resource Identifier,2015_EML,74,74,1.00,100.00%
Resource Identifier Type,2015_EML,74,74,1.00,100.00%
Resource Language,2015_EML,74,74,1.00,100.00%
Resource Lineage,2015_EML,71,71,0.96,95.95%
Resource Long Name,2015_EML,74,74,1.00,100.00%
Resource Quality Description,2015_EML,70,70,0.95,94.59%
Resource Status,2015_EML,74,74,1.00,100.00%
Resource Title,2015_EML,74,74,1.00,100.00%
Resource Use Constraints,2015_EML,74,74,1.00,100.00%
Resource on-line Link,2015_EML,74,74,1.00,100.00%
Rights,2015_EML,74,74,1.00,100.00%
Security Constraints,2015_EML,74,74,1.00,100.00%
Southernmost Latitude,2015_EML,1,1,0.01,1.35%
Spatial Extent,2015_EML,1,1,0.01,1.35%
Start Time,2015_EML,21,21,0.28,28.38%
Supplemental Information,2015_EML,70,70,0.95,94.59%
Temporal Extent,2015_EML,21,21,0.28,28.38%
Unknown,2015_EML,8892,74,120.16,100.00%
Westernmost Longitude,2015_EML,1,1,0.01,1.35%
