Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,JRN_2017_EML,94.0,94.0,1.0,1.0
Resource Identifier,JRN_2017_EML,94.0,94.0,1.0,1.0
Resource Title,JRN_2017_EML,94.0,94.0,1.0,1.0
Author / Originator,JRN_2017_EML,94.0,94.0,1.0,1.0
Metadata Contact,JRN_2017_EML,82.0,82.0,0.87,0.8723404255319149
Contributor Name,JRN_2017_EML,66.0,66.0,0.7,0.7021276595744681
Publisher,JRN_2017_EML,80.0,80.0,0.85,0.851063829787234
Publication Date,JRN_2017_EML,94.0,94.0,1.0,1.0
Resource Contact,JRN_2017_EML,162.0,94.0,1.72,1.0
Abstract,JRN_2017_EML,92.0,92.0,0.98,0.9787234042553192
Keyword,JRN_2017_EML,881.0,94.0,9.37,1.0
Resource Distribution,JRN_2017_EML,94.0,94.0,1.0,1.0
Spatial Extent,JRN_2017_EML,91.0,91.0,0.97,0.9680851063829788
Taxonomic Extent,JRN_2017_EML,0.0,0.0,0.0,0.0
Temporal Extent,JRN_2017_EML,78.0,78.0,0.83,0.8297872340425532
Maintenance,JRN_2017_EML,91.0,91.0,0.97,0.9680851063829788
Resource Use Constraints,JRN_2017_EML,94.0,94.0,1.0,1.0
Process Step,JRN_2017_EML,88.0,88.0,0.94,0.9361702127659576
Project Description,JRN_2017_EML,94.0,94.0,1.0,1.0
Entity Type Definition,JRN_2017_EML,77.0,77.0,0.82,0.8191489361702128
Attribute Definition,JRN_2017_EML,864.0,80.0,9.19,0.851063829787234
Resource Access Constraints,JRN_2017_EML,94.0,94.0,1.0,1.0
Resource Format,JRN_2017_EML,80.0,80.0,0.85,0.851063829787234
Attribute List,JRN_2017_EML,80.0,80.0,0.85,0.851063829787234
Attribute Constraints,JRN_2017_EML,0.0,0.0,0.0,0.0
Resource Quality Description,JRN_2017_EML,75.0,75.0,0.8,0.7978723404255319
