Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Identifier,Author / Originator Identifier Type,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Unknown,Westernmost Longitude
2017,41.12.xml,1.0,0.0,24.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,21.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,137.0,1.0
2017,41.13.xml,1.0,0.0,26.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,21.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,140.0,1.0
2017,46.13.xml,1.0,0.0,28.0,1.0,5.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,7.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,249.0,1.0
2017,46.14.xml,1.0,0.0,28.0,1.0,5.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,7.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,248.0,1.0
2017,46.15.xml,1.0,0.0,28.0,1.0,5.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,7.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,249.0,1.0
2017,560.12.xml,1.0,2.0,350.0,2.0,13.0,13.0,13.0,1.0,13.0,1.0,13.0,4.0,2.0,1.0,1.0,2.0,2.0,33.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,10.0,7.0,4.0,1.0,0.0,13.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1433.0,1.0
2017,577.1.xml,1.0,0.0,12.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95.0,1.0
2017,577.2.xml,1.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,111.0,1.0
2017,591.1.xml,1.0,0.0,51.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,172.0,1.0
2017,617.2.xml,1.0,0.0,85.0,10.0,4.0,4.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,23.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,420.0,1.0
2017,631.3.xml,1.0,0.0,464.0,3.0,12.0,12.0,12.0,0.0,12.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,22.0,2.0,4.0,0.0,1.0,3.0,1.0,1.0,10.0,5.0,2.0,1.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1564.0,1.0
2017,631.4.xml,1.0,0.0,464.0,3.0,12.0,12.0,12.0,0.0,12.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,22.0,2.0,4.0,0.0,1.0,3.0,1.0,1.0,10.0,5.0,2.0,1.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1564.0,1.0
2017,632.4.xml,1.0,0.0,150.0,8.0,4.0,4.0,4.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,8.0,8.0,28.0,2.0,3.0,0.0,1.0,6.0,1.0,1.0,6.0,3.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,830.0,1.0
2017,632.5.xml,1.0,0.0,166.0,10.0,4.0,4.0,4.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,10.0,10.0,28.0,2.0,3.0,0.0,1.0,6.0,1.0,1.0,6.0,3.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,903.0,1.0
2017,634.2.xml,1.0,1.0,516.0,1.0,10.0,10.0,10.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,33.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,5.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2113.0,1.0
2017,636.2.xml,1.0,0.0,9.0,1.0,5.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,23.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,98.0,1.0
2017,636.3.xml,1.0,0.0,9.0,2.0,5.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,23.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,107.0,1.0
2017,642.2.xml,1.0,0.0,24.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,18.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,214.0,1.0
2017,643.1.xml,1.0,0.0,31.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,23.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,130.0,1.0
2017,644.1.xml,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,82.0,1.0
2017,645.1.xml,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,88.0,1.0
2017,647.1.xml,1.0,0.0,47.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,15.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,300.0,1.0
2017,647.2.xml,1.0,0.0,47.0,5.0,10.0,10.0,10.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,15.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,319.0,1.0
