Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Purpose,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Temporal Keyword,Unknown,Westernmost Longitude
2016,1.11.xml,1.0,0.0,0.0,0.0,7.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,247.0,1.0
2016,160.11.xml,1.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,90.0,1.0
2016,46.12.xml,1.0,0.0,30.0,2.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,18.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,7.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,247.0,1.0
2016,560.11.xml,1.0,2.0,350.0,2.0,1.0,1.0,0.0,0.0,1.0,24.0,5.0,2.0,1.0,1.0,2.0,2.0,33.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1447.0,1.0
2016,616.1.xml,1.0,0.0,31.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,208.0,1.0
2016,624.1.xml,1.0,0.0,25.0,7.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,19.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,251.0,1.0
2016,626.1.xml,1.0,0.0,18.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,168.0,1.0
2016,627.1.xml,1.0,0.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,142.0,1.0
2016,627.2.xml,1.0,0.0,17.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,21.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,139.0,1.0
2016,628.1.xml,1.0,0.0,85.0,13.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,13.0,13.0,34.0,2.0,4.0,0.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,408.0,1.0
2016,628.2.xml,1.0,0.0,85.0,13.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,13.0,13.0,34.0,2.0,4.0,0.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,408.0,1.0
2016,629.1.xml,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,258.0,1.0
2016,631.1.xml,1.0,0.0,464.0,3.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,22.0,2.0,4.0,0.0,1.0,3.0,1.0,1.0,10.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1549.0,1.0
2016,631.2.xml,1.0,0.0,464.0,3.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,22.0,2.0,4.0,0.0,1.0,3.0,1.0,1.0,9.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1551.0,1.0
2016,632.1.xml,1.0,0.0,152.0,9.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,9.0,28.0,2.0,3.0,0.0,1.0,5.0,1.0,1.0,7.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,678.0,1.0
2016,632.2.xml,1.0,0.0,154.0,9.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0,9.0,28.0,2.0,3.0,0.0,1.0,5.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,677.0,1.0
2016,633.1.xml,1.0,0.0,62.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,22.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,242.0,1.0
2016,634.1.xml,1.0,1.0,516.0,1.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,33.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,5.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2123.0,1.0
