Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Identifier,Author / Originator Identifier Type,Author / Originator World Wide Web Address,Bounding Box,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Name,Publication Date,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Unknown,Westernmost Longitude
2018,266.7.xml,1.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,93.0,1.0
2018,267.8.xml,1.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,119.0,1.0
2018,268.7.xml,1.0,14.0,2.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,150.0,1.0
2018,272.8.xml,1.0,21.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,9.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,172.0,1.0
2018,274.7.xml,1.0,11.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,9.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,158.0,1.0
2018,276.8.xml,1.0,35.0,3.0,5.0,5.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,9.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,200.0,1.0
2018,277.8.xml,1.0,144.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,371.0,1.0
2018,278.11.xml,1.0,56.0,9.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,9.0,9.0,41.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,401.0,1.0
2018,278.12.xml,1.0,56.0,9.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,9.0,9.0,41.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,401.0,1.0
2018,281.10.xml,1.0,93.0,6.0,5.0,5.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,54.0,2.0,4.0,0.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,508.0,1.0
2018,282.7.xml,1.0,21.0,2.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,194.0,1.0
2018,30.9.xml,1.0,55.0,8.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,7.0,7.0,32.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,312.0,1.0
2018,630.1.xml,1.0,14.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,30.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,143.0,1.0
2018,636.4.xml,1.0,9.0,2.0,5.0,5.0,5.0,0.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,24.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,5.0,3.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,135.0,2.0
2018,652.1.xml,1.0,191.0,16.0,7.0,7.0,7.0,0.0,7.0,1.0,1.0,1.0,1.0,16.0,16.0,69.0,2.0,4.0,0.0,1.0,8.0,1.0,1.0,6.0,4.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2413.0,1.0
2018,652.2.xml,1.0,192.0,16.0,7.0,7.0,7.0,0.0,7.0,1.0,1.0,1.0,1.0,16.0,16.0,69.0,2.0,4.0,0.0,1.0,8.0,1.0,1.0,6.0,4.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2426.0,1.0
2018,653.1.xml,1.0,152.0,10.0,3.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,10.0,10.0,38.0,2.0,4.0,0.0,1.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1091.0,1.0
2018,653.2.xml,1.0,152.0,10.0,3.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,10.0,10.0,38.0,2.0,4.0,0.0,1.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1091.0,1.0
