Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator Identifier Type,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Purpose,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Responsible Party Identifier Type,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Temporal Extent,Unknown,Westernmost Longitude
2012,100.3.xml,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,88.0,1.0
2012,100.4.xml,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,88.0,1.0
2012,100.5.xml,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,310.0,1.0
2012,100.8.xml,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,310.0,1.0
2012,41.10.xml,1.0,34.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,31.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,275.0,1.0
2012,41.11.xml,1.0,34.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,31.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,277.0,1.0
2012,41.5.xml,1.0,34.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,18.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,275.0,1.0
2012,41.6.xml,1.0,34.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,18.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,275.0,1.0
2012,41.7.xml,1.0,34.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,29.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,275.0,1.0
2012,571.2.xml,1.0,33.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,13.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,334.0,1.0
