XPath,CAP_2011_EML,CAP_2012_EML,CAP_2013_EML,CAP_2014_EML,CAP_2015_EML,CAP_2016_EML,CAP_2017_EML,CAP_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.52,1.0,0.97,1.0,0.63,0.84,1.0,0.94
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@id,0.0,0.0,0.1,0.0,0.01,0.0,0.0,0.0
/eml:eml/access/@order,1.0,1.0,0.9,1.0,0.99,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.96,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.05,2.0,2.01,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.05,2.0,2.01,2.0,2.0,2.0
/eml:eml/additionalMetadata/@id,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/citation/alternateIdentifier,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
/eml:eml/additionalMetadata/metadata/citation/article/issue,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
/eml:eml/additionalMetadata/metadata/citation/article/journal,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
/eml:eml/additionalMetadata/metadata/citation/article/pageRange,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
/eml:eml/additionalMetadata/metadata/citation/article/publisher/organizationName,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
/eml:eml/additionalMetadata/metadata/citation/article/volume,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
/eml:eml/additionalMetadata/metadata/citation/creator/individualName/givenName,0.0,0.0,0.0,0.0,0.04,0.16,0.0,0.0
/eml:eml/additionalMetadata/metadata/citation/creator/individualName/surName,0.0,0.0,0.0,0.0,0.04,0.16,0.0,0.0
/eml:eml/additionalMetadata/metadata/citation/pubDate,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
/eml:eml/additionalMetadata/metadata/citation/title,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.07,0.0,0.0,0.0,0.09,0.0,0.0,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.15,0.0,0.33,0.38,0.25,0.08,0.0,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.15,0.0,0.31,0.38,0.24,0.08,0.0,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.16,0.0,0.33,0.38,0.27,0.08,0.0,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,0.15,0.0,0.31,0.38,0.24,0.08,0.0,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.16,0.0,0.33,0.38,0.27,0.08,0.0,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.15,0.0,0.31,0.38,0.24,0.08,0.0,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.16,0.0,0.33,0.38,0.27,0.08,0.0,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.16,0.0,0.33,0.38,0.26,0.08,0.0,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/unit/@id,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/unit/@multiplierToSI,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/unit/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/unit/@parentSI,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/unit/@unitType,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.11
/eml:eml/additionalMetadata/metadata/stmml:unitList/unit/description,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.11
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.0,0.0,0.0,0.0,0.03,1.0,0.37,0.33
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,0.0,0.0,0.0,0.0,0.03,1.0,0.37,0.33
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,0.0,0.0,0.0,0.0,0.03,1.0,0.37,0.33
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,0.0,0.0,0.0,0.0,0.03,1.0,0.37,0.33
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,0.0,0.0,0.0,0.0,0.03,1.0,0.37,0.33
/eml:eml/additionalMetadata/metadata/unitList/unit/description,0.0,0.0,0.0,0.0,0.03,0.8,0.37,0.33
/eml:eml/dataset/@id,1.0,1.0,1.0,1.0,0.98,0.16,0.11,0.61
/eml:eml/dataset/@scope,0.15,0.0,0.0,0.0,0.12,0.6,0.11,0.56
/eml:eml/dataset/@system,1.0,1.0,0.31,1.0,0.94,0.16,0.11,0.61
/eml:eml/dataset/abstract,0.0,0.0,0.0,0.0,0.01,0.64,0.63,0.06
/eml:eml/dataset/abstract/para,1.11,1.0,1.05,1.0,1.27,1.28,0.48,2.39
/eml:eml/dataset/abstract/para/emphasis,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.0
/eml:eml/dataset/abstract/para/literalLayout,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.0
/eml:eml/dataset/abstract/para/subscript,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
/eml:eml/dataset/abstract/para/superscript,0.0,0.0,0.0,0.0,0.01,0.2,0.0,0.0
/eml:eml/dataset/abstract/para/ulink/citetitle,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/para/ulink/citetitle/@url,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/section/para,0.01,0.0,0.0,0.0,0.01,0.0,0.48,0.0
/eml:eml/dataset/abstract/section/para/literalLayout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/section/para/orderedlist/listitem/para,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0
/eml:eml/dataset/abstract/section/title,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.33,1.0,0.76,1.0,1.61
/eml:eml/dataset/alternateIdentifier/@system,1.0,1.0,0.95,1.33,0.97,0.16,0.89,1.61
/eml:eml/dataset/associatedParty/@id,0.0,1.33,0.08,0.0,0.03,0.0,0.33,0.0
