XPath,MCM_2006_EML,MCM_2007_EML,MCM_2008_EML,MCM_2009_EML,MCM_2010_EML,MCM_2012_EML,MCM_2013_EML,MCM_2014_EML,MCM_2015_EML,MCM_2016_EML,MCM_2017_EML,MCM_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.72,0.67,0.67,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.72,0.67,0.67,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.72,0.67,0.67,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,1.44,1.33,1.33,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,1.44,1.33,1.33,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.03,0.0,0.0,0.0,0.0,0.27,0.0,0.4,0.03,0.76,0.78,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.03,0.0,0.0,0.0,0.0,0.55,0.0,0.7,0.05,0.8,0.89,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.03,0.0,0.0,0.0,0.0,0.55,0.0,0.5,0.05,0.14,0.44,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.04,0.0,0.0,0.0,0.0,0.55,0.0,1.3,0.06,1.65,1.44,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,0.03,0.0,0.0,0.0,0.0,0.55,0.0,0.5,0.05,0.14,0.44,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.03,0.0,0.0,0.0,0.0,0.55,0.0,0.7,0.05,0.8,0.89,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.03,0.0,0.0,0.0,0.0,0.55,0.0,0.5,0.05,0.14,0.44,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.03,0.0,0.0,0.0,0.0,0.55,0.0,0.7,0.05,0.8,0.89,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.03,0.0,0.0,0.0,0.0,0.55,0.0,0.6,0.05,0.17,0.56,1.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.91,2.0,1.33,1.0,5.5,2.64,0.43,1.3,1.31,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@id,0.48,0.33,1.11,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@scope,0.36,0.33,0.33,0.5,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
/eml:eml/dataset/abstract/para,0.0,0.0,0.0,0.12,0.0,0.0,0.14,0.0,0.03,0.0,0.0,0.0
/eml:eml/dataset/abstract/section/para,0.59,0.67,0.56,0.0,1.0,0.82,1.14,0.9,0.52,0.0,0.0,0.0
/eml:eml/dataset/abstract/section/para/literalLayout,0.44,0.33,0.89,0.88,0.0,0.18,0.0,0.1,0.44,1.0,1.0,1.0
/eml:eml/dataset/access/@authSystem,0.28,0.33,0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.28,0.33,0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.28,0.33,0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,0.56,0.67,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,0.56,0.67,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/para/literalLayout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.59,0.11,0.0
/eml:eml/dataset/additionalInfo/section/para,0.23,0.0,0.11,0.0,0.0,0.0,0.43,0.7,0.05,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/para/itemizedlist/listitem/para/literalLayout,2.15,0.0,0.0,0.0,0.0,0.0,4.29,0.0,1.06,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/para/literalLayout,1.88,6.5,3.56,1.88,2.5,2.73,1.14,1.5,2.01,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/para/orderedlist/listitem/para,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/para/orderedlist/listitem/para/ulink,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/section/para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/section/title,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/title,2.47,3.83,1.89,2.12,2.5,2.73,2.0,2.0,2.17,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.0
/eml:eml/dataset/associatedParty/@scope,0.11,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/@scope,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/administrativeArea,0.23,0.0,0.0,0.0,0.0,0.18,1.29,1.4,0.26,2.03,4.33,1.0
/eml:eml/dataset/associatedParty/address/city,0.23,0.0,0.0,0.0,0.0,0.18,1.29,1.2,0.23,2.09,4.33,2.0
/eml:eml/dataset/associatedParty/address/country,0.23,0.0,0.0,0.0,0.0,0.18,1.29,1.5,0.26,2.63,4.44,3.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,0.5,0.0,0.0,0.0,0.0,0.36,1.29,1.6,0.53,1.9,3.33,2.0
/eml:eml/dataset/associatedParty/address/postalCode,0.23,0.0,0.0,0.0,0.0,0.18,0.43,1.2,0.21,1.91,4.33,1.0
/eml:eml/dataset/associatedParty/electronicMailAddress,0.23,0.0,0.0,0.0,0.0,0.18,0.0,1.1,0.19,2.98,5.67,4.0
/eml:eml/dataset/associatedParty/individualName/givenName,0.91,0.0,0.33,0.0,0.0,3.18,2.71,6.0,0.58,3.19,5.78,5.0
/eml:eml/dataset/associatedParty/individualName/surName,0.91,0.0,0.33,0.0,0.0,3.18,2.71,6.0,0.58,3.19,5.78,5.0
/eml:eml/dataset/associatedParty/onlineUrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.04,1.67,0.0
/eml:eml/dataset/associatedParty/organizationName,0.01,0.0,0.0,0.0,0.0,0.0,0.29,0.6,0.03,2.17,5.56,5.0
