Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,MCM_2018_EML,1.0,1.0,1.0,1.0
Resource Identifier,MCM_2018_EML,1.0,1.0,1.0,1.0
Resource Title,MCM_2018_EML,1.0,1.0,1.0,1.0
Author / Originator,MCM_2018_EML,1.0,1.0,1.0,1.0
Metadata Contact,MCM_2018_EML,1.0,1.0,1.0,1.0
Contributor Name,MCM_2018_EML,5.0,1.0,5.0,1.0
Publisher,MCM_2018_EML,1.0,1.0,1.0,1.0
Publication Date,MCM_2018_EML,1.0,1.0,1.0,1.0
Resource Contact,MCM_2018_EML,1.0,1.0,1.0,1.0
Abstract,MCM_2018_EML,1.0,1.0,1.0,1.0
Keyword,MCM_2018_EML,23.0,1.0,23.0,1.0
Resource Distribution,MCM_2018_EML,1.0,1.0,1.0,1.0
Spatial Extent,MCM_2018_EML,0.0,0.0,0.0,0.0
Taxonomic Extent,MCM_2018_EML,0.0,0.0,0.0,0.0
Temporal Extent,MCM_2018_EML,1.0,1.0,1.0,1.0
Maintenance,MCM_2018_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,MCM_2018_EML,1.0,1.0,1.0,1.0
Process Step,MCM_2018_EML,1.0,1.0,1.0,1.0
Project Description,MCM_2018_EML,0.0,0.0,0.0,0.0
Entity Type Definition,MCM_2018_EML,0.0,0.0,0.0,0.0
Attribute Definition,MCM_2018_EML,15.0,1.0,15.0,1.0
Resource Access Constraints,MCM_2018_EML,1.0,1.0,1.0,1.0
Resource Format,MCM_2018_EML,1.0,1.0,1.0,1.0
Attribute List,MCM_2018_EML,1.0,1.0,1.0,1.0
Attribute Constraints,MCM_2018_EML,0.0,0.0,0.0,0.0
Resource Quality Description,MCM_2018_EML,0.0,0.0,0.0,0.0
