Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Name,Publication Date,Publisher,Publisher E-Mail,Publisher URL,Purpose,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2014,2016.1.xml,1.0,38.0,4.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,246.0,1.0,1.0,1.0,1.0
2014,4015.1.xml,1.0,26.0,2.0,2.0,2.0,0.0,2.0,24.0,13.0,5.0,1.0,24.0,1.0,2.0,2.0,0.0,9.0,2.0,0.0,1.0,1.0,1.0,24.0,5.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,24.0,24.0,1.0,1.0,1.0,311.0,0.0,0.0,0.0,24.0
2014,4016.1.xml,1.0,43.0,1.0,4.0,4.0,0.0,4.0,1.0,14.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,201.0,1.0,1.0,1.0,1.0
2014,4016.2.xml,1.0,43.0,1.0,4.0,4.0,0.0,4.0,1.0,14.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,201.0,1.0,1.0,1.0,1.0
2014,7019.1.xml,1.0,23.0,5.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,0.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,215.0,1.0,1.0,1.0,1.0
2014,7020.1.xml,1.0,23.0,5.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,0.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,214.0,1.0,1.0,1.0,1.0
2014,76.1.xml,1.0,20.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,146.0,1.0,1.0,1.0,1.0
2014,76.2.xml,1.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,203.0,1.0,1.0,1.0,1.0
2014,8001.1.xml,1.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,165.0,1.0,1.0,1.0,1.0
2014,8002.1.xml,1.0,12.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,186.0,1.0,1.0,1.0,1.0
