XPath,Collection,XPathCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2016_EML,250,250,1.00,100.00%
/eml/@packageId,2016_EML,250,250,1.00,100.00%
/eml/@scope,2016_EML,79,79,0.32,31.60%
/eml/@system,2016_EML,250,250,1.00,100.00%
/eml/@xsi:schemaLocation,2016_EML,250,250,1.00,100.00%
/eml/access,2016_EML,1250,250,5.00,100.00%
/eml/access/@authSystem,2016_EML,250,250,1.00,100.00%
/eml/access/@order,2016_EML,250,250,1.00,100.00%
/eml/access/@scope,2016_EML,231,231,0.92,92.40%
/eml/access/@system,2016_EML,250,250,1.00,100.00%
/eml/access/allow/permission,2016_EML,500,250,2.00,100.00%
/eml/access/allow/principal,2016_EML,507,250,2.03,100.00%
/eml/additionalMetadata/metadata/additionalClassifications/researchTopic,2016_EML,27,13,0.11,5.20%
/eml/additionalMetadata/metadata/additionalClassifications/status,2016_EML,13,13,0.05,5.20%
/eml/additionalMetadata/metadata/additionalClassifications/studyType,2016_EML,17,13,0.07,5.20%
/eml/additionalMetadata/metadata/additionalLinks/url,2016_EML,26,9,0.10,3.60%
/eml/additionalMetadata/metadata/additionalLinks/url/@name,2016_EML,26,9,0.10,3.60%
/eml/additionalMetadata/metadata/description,2016_EML,4,2,0.02,0.80%
/eml/additionalMetadata/metadata/description/para,2016_EML,1,1,0.00,0.40%
/eml/additionalMetadata/metadata/localtags/featuredDataGroup,2016_EML,3,2,0.01,0.80%
/eml/additionalMetadata/metadata/localtags/projectId,2016_EML,2,2,0.01,0.80%
/eml/additionalMetadata/metadata/localtags/researchTheme,2016_EML,2,2,0.01,0.80%
/eml/additionalMetadata/metadata/localtags/system,2016_EML,5,5,0.02,2.00%
/eml/additionalMetadata/metadata/localtags/weight,2016_EML,5,5,0.02,2.00%
/eml/additionalMetadata/metadata/ns2:unitList/@convention,2016_EML,4,4,0.02,1.60%
/eml/additionalMetadata/metadata/ns2:unitList/@xsi:schemaLocation,2016_EML,123,123,0.49,49.20%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@abbreviation,2016_EML,426,125,1.70,50.00%
