Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2012_EML,250,250,1.00,100.00%
Abstract,2012_EML,244,244,0.98,97.60%
Attribute Constraints,2012_EML,7,4,0.03,1.60%
Attribute Definition,2012_EML,3064,217,12.26,86.80%
Attribute List,2012_EML,255,217,1.02,86.80%
Author,2012_EML,370,250,1.48,100.00%
Author / Originator,2012_EML,370,250,1.48,100.00%
Author / Originator Email Address,2012_EML,75,53,0.30,21.20%
Author / Originator Identifier,2012_EML,114,80,0.46,32.00%
Author / Originator Identifier Type,2012_EML,5,5,0.02,2.00%
Author / Originator World Wide Web Address,2012_EML,189,104,0.76,41.60%
Bounding Box,2012_EML,370,238,1.48,95.20%
Contributor Name,2012_EML,264,102,1.06,40.80%
Contributor Role,2012_EML,161,102,0.64,40.80%
Distribution Format,2012_EML,219,217,0.88,86.80%
Easternmost Longitude,2012_EML,370,238,1.48,95.20%
End Time,2012_EML,243,243,0.97,97.20%
Entity Type Definition,2012_EML,185,119,0.74,47.60%
Entity and Attribute Information,2012_EML,185,119,0.74,47.60%
Instrument,2012_EML,63,23,0.25,9.20%
Keyword,2012_EML,4233,243,16.93,97.20%
Keyword Type,2012_EML,215,148,0.86,59.20%
Keyword Vocabulary,2012_EML,240,85,0.96,34.00%
Maintenance,2012_EML,101,101,0.40,40.40%
Metadata Access Constraints,2012_EML,230,230,0.92,92.00%
Metadata Contact,2012_EML,203,203,0.81,81.20%
Metadata Modified Date,2012_EML,2,2,0.01,0.80%
Metadata Use Constraints,2012_EML,230,230,0.92,92.00%
Northernmost Latitude,2012_EML,370,238,1.48,95.20%
Organization Name,2012_EML,709,248,2.84,99.20%
Originating Organization,2012_EML,153,133,0.61,53.20%
Parent Identifier,2012_EML,24,24,0.10,9.60%
Place Keyword,2012_EML,97,33,0.39,13.20%
Process Step,2012_EML,220,220,0.88,88.00%
Project Description,2012_EML,99,99,0.40,39.60%
Project Name,2012_EML,189,104,0.76,41.60%
Publication Date,2012_EML,233,233,0.93,93.20%
Publisher,2012_EML,130,130,0.52,52.00%
Publisher E-Mail,2012_EML,64,64,0.26,25.60%
Publisher URL,2012_EML,64,64,0.26,25.60%
Related Resource Citation,2012_EML,99,99,0.40,39.60%
Related Resource Identifier,2012_EML,24,24,0.10,9.60%
Resource Access Constraints,2012_EML,230,230,0.92,92.00%
Resource Contact,2012_EML,295,250,1.18,100.00%
Resource Creation/Revision Date,2012_EML,235,233,0.94,93.20%
Resource Distribution,2012_EML,133,133,0.53,53.20%
Resource Format,2012_EML,219,217,0.88,86.80%
Resource Identifier,2012_EML,250,250,1.00,100.00%
Resource Identifier Type,2012_EML,250,250,1.00,100.00%
Resource Language,2012_EML,43,43,0.17,17.20%
Resource Lineage,2012_EML,220,220,0.88,88.00%
Resource Long Name,2012_EML,250,250,1.00,100.00%
Resource Quality Description,2012_EML,22,22,0.09,8.80%
Resource Revision Date,2012_EML,2,2,0.01,0.80%
Resource Status,2012_EML,230,230,0.92,92.00%
Resource Title,2012_EML,250,250,1.00,100.00%
Resource Update Frequency,2012_EML,20,20,0.08,8.00%
Resource Use Constraints,2012_EML,156,156,0.62,62.40%
Resource on-line Link,2012_EML,133,133,0.53,53.20%
Responsible Party Identifier,2012_EML,10,6,0.04,2.40%
Responsible Party Identifier Type,2012_EML,3,3,0.01,1.20%
Rights,2012_EML,156,156,0.62,62.40%
Security Constraints,2012_EML,230,230,0.92,92.00%
Southernmost Latitude,2012_EML,370,238,1.48,95.20%
Spatial Extent,2012_EML,370,238,1.48,95.20%
Start Time,2012_EML,243,243,0.97,97.20%
Supplemental Information,2012_EML,9,9,0.04,3.60%
Taxonomic Extent,2012_EML,50,49,0.20,19.60%
Temporal Extent,2012_EML,248,248,0.99,99.20%
Temporal Keyword,2012_EML,4,4,0.02,1.60%
Unknown,2012_EML,45537,250,182.15,100.00%
Vertical Maximum,2012_EML,21,20,0.08,8.00%
Vertical Minimum,2012_EML,21,20,0.08,8.00%
Vertical Resolution,2012_EML,20,20,0.08,8.00%
Westernmost Longitude,2012_EML,369,238,1.48,95.20%
