Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2016_EML,250,250,1.00,100.00%
Abstract,2016_EML,250,250,1.00,100.00%
Attribute Constraints,2016_EML,42,8,0.17,3.20%
Attribute Definition,2016_EML,5594,231,22.38,92.40%
Attribute List,2016_EML,415,231,1.66,92.40%
Author,2016_EML,462,250,1.85,100.00%
Author / Originator,2016_EML,462,250,1.85,100.00%
Author / Originator Email Address,2016_EML,91,57,0.36,22.80%
Author / Originator Identifier,2016_EML,75,46,0.30,18.40%
Author / Originator World Wide Web Address,2016_EML,271,176,1.08,70.40%
Bounding Box,2016_EML,667,229,2.67,91.60%
Contributor Name,2016_EML,468,150,1.87,60.00%
Contributor Role,2016_EML,233,150,0.93,60.00%
Distribution Format,2016_EML,246,231,0.98,92.40%
Easternmost Longitude,2016_EML,614,229,2.46,91.60%
End Time,2016_EML,224,224,0.90,89.60%
Entity Type Definition,2016_EML,408,224,1.63,89.60%
Entity and Attribute Information,2016_EML,408,224,1.63,89.60%
Instrument,2016_EML,65,11,0.26,4.40%
Keyword,2016_EML,2433,250,9.73,100.00%
Keyword Type,2016_EML,123,81,0.49,32.40%
Keyword Vocabulary,2016_EML,377,208,1.51,83.20%
Maintenance,2016_EML,152,152,0.61,60.80%
Metadata Access Constraints,2016_EML,250,250,1.00,100.00%
Metadata Contact,2016_EML,145,142,0.58,56.80%
Metadata Modified Date,2016_EML,56,10,0.22,4.00%
Metadata Use Constraints,2016_EML,250,250,1.00,100.00%
Northernmost Latitude,2016_EML,655,229,2.62,91.60%
Organization Name,2016_EML,896,250,3.58,100.00%
Originating Organization,2016_EML,210,146,0.84,58.40%
Parent Identifier,2016_EML,2,2,0.01,0.80%
Place Keyword,2016_EML,184,49,0.74,19.60%
Process Step,2016_EML,232,232,0.93,92.80%
Project Description,2016_EML,43,43,0.17,17.20%
Project Name,2016_EML,271,176,1.08,70.40%
Publication Date,2016_EML,249,249,1.00,99.60%
Publisher,2016_EML,172,172,0.69,68.80%
Publisher E-Mail,2016_EML,48,48,0.19,19.20%
Publisher URL,2016_EML,48,48,0.19,19.20%
Purpose,2016_EML,17,17,0.07,6.80%
Related Resource Citation,2016_EML,43,43,0.17,17.20%
Related Resource Identifier,2016_EML,2,2,0.01,0.80%
Resource Access Constraints,2016_EML,250,250,1.00,100.00%
Resource Contact,2016_EML,518,250,2.07,100.00%
Resource Creation/Revision Date,2016_EML,305,249,1.22,99.60%
Resource Distribution,2016_EML,237,237,0.95,94.80%
Resource Format,2016_EML,246,231,0.98,92.40%
Resource Identifier,2016_EML,250,250,1.00,100.00%
Resource Identifier Type,2016_EML,250,250,1.00,100.00%
Resource Language,2016_EML,137,137,0.55,54.80%
Resource Lineage,2016_EML,232,232,0.93,92.80%
Resource Long Name,2016_EML,250,250,1.00,100.00%
Resource Quality Description,2016_EML,27,22,0.11,8.80%
Resource Revision Date,2016_EML,56,10,0.22,4.00%
Resource Status,2016_EML,250,250,1.00,100.00%
Resource Title,2016_EML,250,250,1.00,100.00%
Resource Update Frequency,2016_EML,15,15,0.06,6.00%
Resource Use Constraints,2016_EML,243,243,0.97,97.20%
Resource on-line Link,2016_EML,237,237,0.95,94.80%
Responsible Party Identifier,2016_EML,10,5,0.04,2.00%
Rights,2016_EML,243,243,0.97,97.20%
Security Constraints,2016_EML,250,250,1.00,100.00%
Southernmost Latitude,2016_EML,656,229,2.62,91.60%
Spatial Extent,2016_EML,669,229,2.68,91.60%
Start Time,2016_EML,224,224,0.90,89.60%
Supplemental Information,2016_EML,49,49,0.20,19.60%
Taxonomic Extent,2016_EML,19,19,0.08,7.60%
Temporal Extent,2016_EML,228,228,0.91,91.20%
Temporal Keyword,2016_EML,3,3,0.01,1.20%
Unknown,2016_EML,58200,250,232.80,100.00%
Vertical Maximum,2016_EML,260,121,1.04,48.40%
Vertical Minimum,2016_EML,262,121,1.05,48.40%
Vertical Resolution,2016_EML,121,121,0.48,48.40%
Westernmost Longitude,2016_EML,614,229,2.46,91.60%
