Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2011_EML,250,250,1.00,100.00%
Abstract,2011_EML,241,241,0.96,96.40%
Attribute Constraints,2011_EML,7,2,0.03,0.80%
Attribute Definition,2011_EML,3189,146,12.76,58.40%
Attribute List,2011_EML,250,146,1.00,58.40%
Author,2011_EML,441,250,1.76,100.00%
Author / Originator,2011_EML,441,250,1.76,100.00%
Author / Originator Email Address,2011_EML,39,29,0.16,11.60%
Author / Originator Identifier,2011_EML,25,12,0.10,4.80%
Author / Originator Identifier Type,2011_EML,1,1,0.00,0.40%
Author / Originator World Wide Web Address,2011_EML,240,165,0.96,66.00%
Bounding Box,2011_EML,368,211,1.47,84.40%
Contributor Name,2011_EML,311,56,1.24,22.40%
Contributor Role,2011_EML,133,56,0.53,22.40%
Distribution Format,2011_EML,162,140,0.65,56.00%
Easternmost Longitude,2011_EML,362,211,1.45,84.40%
End Time,2011_EML,198,196,0.79,78.40%
Entity Type Definition,2011_EML,216,116,0.86,46.40%
Entity and Attribute Information,2011_EML,216,116,0.86,46.40%
Instrument,2011_EML,94,32,0.38,12.80%
Keyword,2011_EML,4166,227,16.66,90.80%
Keyword Type,2011_EML,240,129,0.96,51.60%
Keyword Vocabulary,2011_EML,466,168,1.86,67.20%
Maintenance,2011_EML,166,166,0.66,66.40%
Metadata Access Constraints,2011_EML,229,229,0.92,91.60%
Metadata Contact,2011_EML,80,80,0.32,32.00%
Metadata Use Constraints,2011_EML,229,229,0.92,91.60%
Northernmost Latitude,2011_EML,363,211,1.45,84.40%
Organization Name,2011_EML,690,245,2.76,98.00%
Originating Organization,2011_EML,267,218,1.07,87.20%
Parent Identifier,2011_EML,21,21,0.08,8.40%
Place Keyword,2011_EML,453,105,1.81,42.00%
Process Step,2011_EML,202,202,0.81,80.80%
Project Description,2011_EML,75,75,0.30,30.00%
Project Name,2011_EML,240,165,0.96,66.00%
Publication Date,2011_EML,221,221,0.88,88.40%
Publisher,2011_EML,86,86,0.34,34.40%
Publisher E-Mail,2011_EML,42,42,0.17,16.80%
Publisher URL,2011_EML,42,42,0.17,16.80%
Purpose,2011_EML,78,78,0.31,31.20%
Related Resource Citation,2011_EML,75,75,0.30,30.00%
Related Resource Identifier,2011_EML,21,21,0.08,8.40%
Resource Access Constraints,2011_EML,229,229,0.92,91.60%
Resource Contact,2011_EML,272,250,1.09,100.00%
Resource Creation/Revision Date,2011_EML,221,221,0.88,88.40%
Resource Distribution,2011_EML,226,225,0.90,90.00%
Resource Format,2011_EML,162,140,0.65,56.00%
Resource Identifier,2011_EML,250,250,1.00,100.00%
Resource Identifier Type,2011_EML,250,250,1.00,100.00%
Resource Language,2011_EML,156,156,0.62,62.40%
Resource Lineage,2011_EML,202,202,0.81,80.80%
Resource Long Name,2011_EML,250,250,1.00,100.00%
Resource Quality Description,2011_EML,50,50,0.20,20.00%
Resource Status,2011_EML,229,229,0.92,91.60%
Resource Title,2011_EML,250,250,1.00,100.00%
Resource Update Frequency,2011_EML,84,84,0.34,33.60%
Resource Use Constraints,2011_EML,241,241,0.96,96.40%
Resource on-line Link,2011_EML,225,225,0.90,90.00%
Responsible Party Identifier,2011_EML,6,2,0.02,0.80%
Rights,2011_EML,241,241,0.96,96.40%
Security Constraints,2011_EML,229,229,0.92,91.60%
Southernmost Latitude,2011_EML,361,211,1.44,84.40%
Spatial Extent,2011_EML,371,211,1.48,84.40%
Start Time,2011_EML,198,196,0.79,78.40%
Supplemental Information,2011_EML,52,52,0.21,20.80%
Taxonomic Extent,2011_EML,10,10,0.04,4.00%
Temporal Extent,2011_EML,229,227,0.92,90.80%
Temporal Keyword,2011_EML,7,3,0.03,1.20%
Unknown,2011_EML,56572,250,226.29,100.00%
Vertical Maximum,2011_EML,142,41,0.57,16.40%
Vertical Minimum,2011_EML,142,41,0.57,16.40%
Vertical Resolution,2011_EML,41,41,0.16,16.40%
Westernmost Longitude,2011_EML,361,211,1.44,84.40%
