Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator Identifier Type,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Publisher E-Mail,Publisher URL,Purpose,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Quality Description,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Temporal Keyword,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2013_EML,00000-metadata.xml,1.0,7.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,134.0,0.0,0.0,0.0,1.0
2013_EML,00001-metadata.xml,1.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,155.0,0.0,0.0,0.0,1.0
2013_EML,00002-metadata.xml,1.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,9.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,18.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,355.0,0.0,0.0,0.0,2.0
2013_EML,00003-metadata.xml,1.0,18.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,231.0,0.0,0.0,0.0,1.0
2013_EML,00004-metadata.xml,1.0,5.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0,19.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,311.0,0.0,0.0,0.0,3.0
2013_EML,00005-metadata.xml,1.0,8.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,4.0,2.0,1.0,7.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,192.0,0.0,0.0,0.0,7.0
2013_EML,00006-metadata.xml,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,193.0,0.0,0.0,0.0,1.0
2013_EML,00007-metadata.xml,1.0,11.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,158.0,0.0,0.0,0.0,1.0
2013_EML,00008-metadata.xml,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,1.0
2013_EML,00009-metadata.xml,1.0,17.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,206.0,0.0,0.0,0.0,5.0
