XPath,Collection,XPathCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2009_EML,250,250,1.00,100.00%
/eml/@packageId,2009_EML,250,250,1.00,100.00%
/eml/@scope,2009_EML,186,186,0.74,74.40%
/eml/@system,2009_EML,250,250,1.00,100.00%
/eml/@xsi:schemaLocation,2009_EML,250,250,1.00,100.00%
/eml/access,2009_EML,1005,201,4.02,80.40%
/eml/access/@authSystem,2009_EML,201,201,0.80,80.40%
/eml/access/@order,2009_EML,201,201,0.80,80.40%
/eml/access/@scope,2009_EML,121,121,0.48,48.40%
/eml/access/@system,2009_EML,17,17,0.07,6.80%
/eml/access/allow/permission,2009_EML,402,201,1.61,80.40%
/eml/access/allow/principal,2009_EML,402,201,1.61,80.40%
/eml/additionalMetadata/additionalDataset/DatasetDistributionTypeandRestrictions,2009_EML,18,18,0.07,7.20%
/eml/additionalMetadata/additionalDataset/LTERsites/sitename,2009_EML,12,12,0.05,4.80%
/eml/additionalMetadata/additionalDataset/addDistribution/submissionDate,2009_EML,21,21,0.08,8.40%
/eml/additionalMetadata/additionalDataset/datasetAnomolies/anomolies,2009_EML,9,9,0.04,3.60%
/eml/additionalMetadata/additionalDataset/datasetDistributionTypeandRestrictions,2009_EML,1,1,0.00,0.40%
/eml/additionalMetadata/additionalDataset/datasetInfoManagementNotes/notes,2009_EML,14,14,0.06,5.60%
/eml/additionalMetadata/additionalDataset/datasetPurpose/para,2009_EML,3,3,0.01,1.20%
/eml/additionalMetadata/additionalDataset/datasetSubmissionNotes/notes,2009_EML,12,12,0.05,4.80%
/eml/additionalMetadata/additionalDataset/projectHypotheses/para,2009_EML,10,10,0.04,4.00%
/eml/additionalMetadata/additionalDataset/projectPermits/permit,2009_EML,7,7,0.03,2.80%
/eml/additionalMetadata/additionalDataset/researchType,2009_EML,21,21,0.08,8.40%
/eml/additionalMetadata/describes,2009_EML,1,1,0.00,0.40%
/eml/additionalMetadata/metadata/access/@authSystem,2009_EML,1,1,0.00,0.40%
/eml/additionalMetadata/metadata/access/@order,2009_EML,1,1,0.00,0.40%
/eml/additionalMetadata/metadata/access/@scope,2009_EML,1,1,0.00,0.40%
/eml/additionalMetadata/metadata/access/allow/permission,2009_EML,2,1,0.01,0.40%
/eml/additionalMetadata/metadata/access/allow/principal,2009_EML,5,1,0.02,0.40%
/eml/additionalMetadata/metadata/additionalClassifications/researchTopic,2009_EML,78,40,0.31,16.00%
/eml/additionalMetadata/metadata/additionalClassifications/status,2009_EML,40,40,0.16,16.00%
/eml/additionalMetadata/metadata/additionalClassifications/studyType,2009_EML,40,40,0.16,16.00%
/eml/additionalMetadata/metadata/additionalLinks/url,2009_EML,158,36,0.63,14.40%
/eml/additionalMetadata/metadata/additionalLinks/url/@name,2009_EML,158,36,0.63,14.40%
/eml/additionalMetadata/metadata/localtags/featuredDataGroup,2009_EML,9,8,0.04,3.20%
/eml/additionalMetadata/metadata/localtags/projectId,2009_EML,4,4,0.02,1.60%
/eml/additionalMetadata/metadata/localtags/researchTheme,2009_EML,7,7,0.03,2.80%
/eml/additionalMetadata/metadata/localtags/system,2009_EML,11,11,0.04,4.40%
/eml/additionalMetadata/metadata/localtags/weight,2009_EML,11,11,0.04,4.40%
/eml/additionalMetadata/metadata/ns2:unitList/@convention,2009_EML,16,16,0.06,6.40%
/eml/additionalMetadata/metadata/ns2:unitList/@xsi:schemaLocation,2009_EML,10,10,0.04,4.00%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@abbreviation,2009_EML,417,78,1.67,31.20%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@constantToSI,2009_EML,106,71,0.42,28.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@id,2009_EML,684,103,2.74,41.20%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@multiplierToSI,2009_EML,245,91,0.98,36.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@name,2009_EML,638,94,2.55,37.60%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@parentSI,2009_EML,378,91,1.51,36.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@unitType,2009_EML,485,75,1.94,30.00%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/ns2:description,2009_EML,607,78,2.43,31.20%
/eml/additionalMetadata/metadata/unitList/unit/@abbreviation,2009_EML,68,17,0.27,6.80%
/eml/additionalMetadata/metadata/unitList/unit/@id,2009_EML,134,40,0.54,16.00%
/eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,2009_EML,68,17,0.27,6.80%
/eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,2009_EML,10,4,0.04,1.60%
/eml/additionalMetadata/metadata/unitList/unit/@name,2009_EML,67,21,0.27,8.40%
/eml/additionalMetadata/metadata/unitList/unit/@parentSI,2009_EML,57,21,0.23,8.40%
/eml/additionalMetadata/metadata/unitList/unit/@unitType,2009_EML,63,21,0.25,8.40%
/eml/additionalMetadata/metadata/unitList/unit/description,2009_EML,67,21,0.27,8.40%
/eml/additionalMetadata/ns2:unitList/@convention,2009_EML,14,14,0.06,5.60%
/eml/additionalMetadata/ns2:unitList/@xsi:schemaLocation,2009_EML,14,14,0.06,5.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@constantToSI,2009_EML,14,14,0.06,5.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@id,2009_EML,31,14,0.12,5.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@multiplierToSI,2009_EML,24,14,0.10,5.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@name,2009_EML,31,14,0.12,5.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@parentSI,2009_EML,7,7,0.03,2.80%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@unitType,2009_EML,24,14,0.10,5.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/ns2:description,2009_EML,31,14,0.12,5.60%
/eml/additionalMetadata/unitList/unit/@id,2009_EML,13,7,0.05,2.80%
/eml/additionalMetadata/unitList/unit/@multiplerToSI,2009_EML,1,1,0.00,0.40%
/eml/additionalMetadata/unitList/unit/@name,2009_EML,1,1,0.00,0.40%
/eml/additionalMetadata/unitList/unit/@parentSI,2009_EML,1,1,0.00,0.40%
/eml/additionalMetadata/unitList/unit/@unitType,2009_EML,1,1,0.00,0.40%
/eml/additionalMetadata/unitList/unit/description,2009_EML,1,1,0.00,0.40%
/eml/dataset/@id,2009_EML,141,141,0.56,56.40%
/eml/dataset/@scope,2009_EML,58,58,0.23,23.20%
/eml/dataset/@system,2009_EML,11,11,0.04,4.40%
/eml/dataset/abstract,2009_EML,247,247,0.99,98.80%
/eml/dataset/abstract/para,2009_EML,374,153,1.50,61.20%
/eml/dataset/abstract/para/emphasis,2009_EML,4,1,0.02,0.40%
/eml/dataset/abstract/para/itemizedlist/listitem/para,2009_EML,9,3,0.04,1.20%
/eml/dataset/abstract/para/itemizedlist/listitem/para/emphasis,2009_EML,3,3,0.01,1.20%
/eml/dataset/abstract/para/itemizedlist/listitem/para/superscript,2009_EML,3,3,0.01,1.20%
/eml/dataset/abstract/para/literalLayout,2009_EML,16,16,0.06,6.40%
/eml/dataset/abstract/para/superscript,2009_EML,2,1,0.01,0.40%
/eml/dataset/abstract/section/para,2009_EML,181,78,0.72,31.20%
/eml/dataset/abstract/section/para/literalLayout,2009_EML,1,1,0.00,0.40%
/eml/dataset/abstract/section/para/superscript,2009_EML,1,1,0.00,0.40%
/eml/dataset/abstract/section/title,2009_EML,35,34,0.14,13.60%
/eml/dataset/access/@authSystem,2009_EML,49,49,0.20,19.60%
/eml/dataset/access/@order,2009_EML,49,49,0.20,19.60%
/eml/dataset/access/@scope,2009_EML,49,49,0.20,19.60%
/eml/dataset/access/allow/permission,2009_EML,98,49,0.39,19.60%
/eml/dataset/access/allow/principal,2009_EML,100,49,0.40,19.60%
/eml/dataset/additionalInfo,2009_EML,8,8,0.03,3.20%
/eml/dataset/additionalInfo/para/literalLayout,2009_EML,1,1,0.00,0.40%
/eml/dataset/additionalInfo/section/para/literalLayout,2009_EML,1,1,0.00,0.40%
/eml/dataset/additionalInfo/section/para/orderedlist/listitem/para,2009_EML,8,6,0.03,2.40%
/eml/dataset/additionalInfo/section/title,2009_EML,7,7,0.03,2.80%
/eml/dataset/alternateIdentifier,2009_EML,165,165,0.66,66.00%
/eml/dataset/alternateIdentifier/@system,2009_EML,15,15,0.06,6.00%
/eml/dataset/associatedParty,2009_EML,350,114,1.40,45.60%
/eml/dataset/associatedParty/@id,2009_EML,106,38,0.42,15.20%
