Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2008_EML,250,250,1.00,100.00%
Abstract,2008_EML,250,250,1.00,100.00%
Attribute Constraints,2008_EML,8,2,0.03,0.80%
Attribute Definition,2008_EML,2867,179,11.47,71.60%
Attribute List,2008_EML,212,179,0.85,71.60%
Author,2008_EML,521,250,2.08,100.00%
Author / Originator,2008_EML,521,250,2.08,100.00%
Author / Originator Email Address,2008_EML,257,177,1.03,70.80%
Author / Originator Identifier,2008_EML,163,92,0.65,36.80%
Author / Originator World Wide Web Address,2008_EML,404,228,1.62,91.20%
Bounding Box,2008_EML,325,229,1.30,91.60%
Contributor Name,2008_EML,477,96,1.91,38.40%
Contributor Role,2008_EML,213,96,0.85,38.40%
Distribution Format,2008_EML,157,154,0.63,61.60%
Easternmost Longitude,2008_EML,321,229,1.28,91.60%
End Time,2008_EML,248,248,0.99,99.20%
Entity Type Definition,2008_EML,216,174,0.86,69.60%
Entity and Attribute Information,2008_EML,216,174,0.86,69.60%
Instrument,2008_EML,277,67,1.11,26.80%
Keyword,2008_EML,2820,235,11.28,94.00%
Keyword Type,2008_EML,161,102,0.64,40.80%
Keyword Vocabulary,2008_EML,207,97,0.83,38.80%
Maintenance,2008_EML,132,132,0.53,52.80%
Metadata Access Constraints,2008_EML,174,174,0.70,69.60%
Metadata Contact,2008_EML,151,148,0.60,59.20%
Metadata Modified Date,2008_EML,18,2,0.07,0.80%
Metadata Use Constraints,2008_EML,174,174,0.70,69.60%
Northernmost Latitude,2008_EML,315,229,1.26,91.60%
Organization Name,2008_EML,819,225,3.28,90.00%
Originating Organization,2008_EML,254,204,1.02,81.60%
Parent Identifier,2008_EML,53,53,0.21,21.20%
Place Keyword,2008_EML,83,28,0.33,11.20%
Process Step,2008_EML,163,163,0.65,65.20%
Project Description,2008_EML,108,108,0.43,43.20%
Project Name,2008_EML,404,228,1.62,91.20%
Publication Date,2008_EML,220,220,0.88,88.00%
Publisher,2008_EML,151,151,0.60,60.40%
Publisher E-Mail,2008_EML,93,93,0.37,37.20%
Publisher URL,2008_EML,93,93,0.37,37.20%
Purpose,2008_EML,2,2,0.01,0.80%
Related Resource Citation,2008_EML,108,108,0.43,43.20%
Related Resource Identifier,2008_EML,53,53,0.21,21.20%
Resource Access Constraints,2008_EML,174,174,0.70,69.60%
Resource Contact,2008_EML,336,250,1.34,100.00%
Resource Creation/Revision Date,2008_EML,238,220,0.95,88.00%
Resource Distribution,2008_EML,241,241,0.96,96.40%
Resource Format,2008_EML,157,154,0.63,61.60%
Resource Identifier,2008_EML,250,250,1.00,100.00%
Resource Identifier Type,2008_EML,250,250,1.00,100.00%
Resource Language,2008_EML,40,40,0.16,16.00%
Resource Lineage,2008_EML,163,163,0.65,65.20%
Resource Long Name,2008_EML,250,250,1.00,100.00%
Resource Quality Description,2008_EML,68,68,0.27,27.20%
Resource Revision Date,2008_EML,18,2,0.07,0.80%
Resource Status,2008_EML,174,174,0.70,69.60%
Resource Title,2008_EML,250,250,1.00,100.00%
Resource Update Frequency,2008_EML,5,5,0.02,2.00%
Resource Use Constraints,2008_EML,225,225,0.90,90.00%
Resource on-line Link,2008_EML,241,241,0.96,96.40%
Rights,2008_EML,225,225,0.90,90.00%
Security Constraints,2008_EML,174,174,0.70,69.60%
Southernmost Latitude,2008_EML,323,229,1.29,91.60%
Spatial Extent,2008_EML,329,229,1.32,91.60%
Start Time,2008_EML,248,248,0.99,99.20%
Supplemental Information,2008_EML,13,13,0.05,5.20%
Taxonomic Extent,2008_EML,23,23,0.09,9.20%
Temporal Extent,2008_EML,250,250,1.00,100.00%
Temporal Keyword,2008_EML,8,8,0.03,3.20%
Unknown,2008_EML,50081,250,200.32,100.00%
Vertical Maximum,2008_EML,29,17,0.12,6.80%
Vertical Minimum,2008_EML,29,17,0.12,6.80%
Vertical Resolution,2008_EML,17,17,0.07,6.80%
Westernmost Longitude,2008_EML,313,229,1.25,91.60%
