Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2006_EML,250,250,1.00,100.00%
Abstract,2006_EML,250,250,1.00,100.00%
Attribute Constraints,2006_EML,10,1,0.04,0.40%
Attribute Definition,2006_EML,3456,193,13.82,77.20%
Attribute List,2006_EML,351,193,1.40,77.20%
Author,2006_EML,390,250,1.56,100.00%
Author / Originator,2006_EML,390,250,1.56,100.00%
Author / Originator Email Address,2006_EML,104,98,0.42,39.20%
Author / Originator Identifier,2006_EML,90,49,0.36,19.60%
Author / Originator World Wide Web Address,2006_EML,233,189,0.93,75.60%
Bounding Box,2006_EML,330,247,1.32,98.80%
Contributor Name,2006_EML,732,121,2.93,48.40%
Contributor Role,2006_EML,427,121,1.71,48.40%
Distribution Format,2006_EML,192,190,0.77,76.00%
Easternmost Longitude,2006_EML,318,247,1.27,98.80%
End Time,2006_EML,209,208,0.84,83.20%
Entity Type Definition,2006_EML,238,135,0.95,54.00%
Entity and Attribute Information,2006_EML,238,135,0.95,54.00%
Instrument,2006_EML,190,58,0.76,23.20%
Keyword,2006_EML,2064,250,8.26,100.00%
Keyword Type,2006_EML,247,147,0.99,58.80%
Keyword Vocabulary,2006_EML,156,56,0.62,22.40%
Maintenance,2006_EML,178,178,0.71,71.20%
Metadata Access Constraints,2006_EML,171,171,0.68,68.40%
Metadata Contact,2006_EML,178,176,0.71,70.40%
Metadata Modified Date,2006_EML,25,3,0.10,1.20%
Metadata Use Constraints,2006_EML,171,171,0.68,68.40%
Northernmost Latitude,2006_EML,328,247,1.31,98.80%
Organization Name,2006_EML,864,247,3.46,98.80%
Originating Organization,2006_EML,150,129,0.60,51.60%
Parent Identifier,2006_EML,50,50,0.20,20.00%
Place Keyword,2006_EML,180,99,0.72,39.60%
Process Step,2006_EML,203,203,0.81,81.20%
Project Description,2006_EML,63,63,0.25,25.20%
Project Name,2006_EML,233,189,0.93,75.60%
Publication Date,2006_EML,194,194,0.78,77.60%
Publisher,2006_EML,205,205,0.82,82.00%
Publisher E-Mail,2006_EML,165,165,0.66,66.00%
Publisher URL,2006_EML,165,165,0.66,66.00%
Purpose,2006_EML,14,14,0.06,5.60%
Related Resource Citation,2006_EML,63,63,0.25,25.20%
Related Resource Identifier,2006_EML,50,50,0.20,20.00%
Resource Access Constraints,2006_EML,171,171,0.68,68.40%
Resource Contact,2006_EML,323,250,1.29,100.00%
Resource Creation/Revision Date,2006_EML,219,194,0.88,77.60%
Resource Distribution,2006_EML,242,242,0.97,96.80%
Resource Format,2006_EML,192,190,0.77,76.00%
Resource Identifier,2006_EML,250,250,1.00,100.00%
Resource Identifier Type,2006_EML,250,250,1.00,100.00%
Resource Language,2006_EML,51,51,0.20,20.40%
Resource Lineage,2006_EML,203,203,0.81,81.20%
Resource Long Name,2006_EML,250,250,1.00,100.00%
Resource Quality Description,2006_EML,52,52,0.21,20.80%
Resource Revision Date,2006_EML,25,3,0.10,1.20%
Resource Status,2006_EML,171,171,0.68,68.40%
Resource Title,2006_EML,250,250,1.00,100.00%
Resource Update Frequency,2006_EML,7,7,0.03,2.80%
Resource Use Constraints,2006_EML,250,250,1.00,100.00%
Resource on-line Link,2006_EML,232,232,0.93,92.80%
Rights,2006_EML,250,250,1.00,100.00%
Security Constraints,2006_EML,171,171,0.68,68.40%
Southernmost Latitude,2006_EML,321,247,1.28,98.80%
Spatial Extent,2006_EML,337,247,1.35,98.80%
Start Time,2006_EML,209,208,0.84,83.20%
Supplemental Information,2006_EML,73,73,0.29,29.20%
Taxonomic Extent,2006_EML,12,12,0.05,4.80%
Temporal Extent,2006_EML,252,247,1.01,98.80%
Unknown,2006_EML,49666,250,198.66,100.00%
Vertical Maximum,2006_EML,105,100,0.42,40.00%
Vertical Minimum,2006_EML,105,100,0.42,40.00%
Vertical Resolution,2006_EML,100,100,0.40,40.00%
Westernmost Longitude,2006_EML,322,247,1.29,98.80%
