Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2010_EML,250,250,1.00,100.00%
Abstract,2010_EML,244,244,0.98,97.60%
Attribute Definition,2010_EML,2068,131,8.27,52.40%
Attribute List,2010_EML,164,131,0.66,52.40%
Author,2010_EML,392,250,1.57,100.00%
Author / Originator,2010_EML,392,250,1.57,100.00%
Author / Originator Email Address,2010_EML,136,105,0.54,42.00%
Author / Originator Identifier,2010_EML,215,119,0.86,47.60%
Author / Originator World Wide Web Address,2010_EML,173,127,0.69,50.80%
Bounding Box,2010_EML,677,240,2.71,96.00%
Contributor Name,2010_EML,197,85,0.79,34.00%
Contributor Role,2010_EML,115,85,0.46,34.00%
Distribution Format,2010_EML,129,125,0.52,50.00%
Easternmost Longitude,2010_EML,676,240,2.70,96.00%
End Time,2010_EML,201,201,0.80,80.40%
Entity Type Definition,2010_EML,127,93,0.51,37.20%
Entity and Attribute Information,2010_EML,127,93,0.51,37.20%
Instrument,2010_EML,76,15,0.30,6.00%
Keyword,2010_EML,1852,243,7.41,97.20%
Keyword Type,2010_EML,205,153,0.82,61.20%
Keyword Vocabulary,2010_EML,73,43,0.29,17.20%
Maintenance,2010_EML,86,86,0.34,34.40%
Metadata Access Constraints,2010_EML,182,182,0.73,72.80%
Metadata Contact,2010_EML,115,115,0.46,46.00%
Metadata Use Constraints,2010_EML,182,182,0.73,72.80%
Northernmost Latitude,2010_EML,675,240,2.70,96.00%
Organization Name,2010_EML,595,250,2.38,100.00%
Originating Organization,2010_EML,164,159,0.66,63.60%
Parent Identifier,2010_EML,12,12,0.05,4.80%
Place Keyword,2010_EML,127,59,0.51,23.60%
Process Step,2010_EML,129,129,0.52,51.60%
Project Description,2010_EML,68,68,0.27,27.20%
Project Name,2010_EML,173,127,0.69,50.80%
Publication Date,2010_EML,242,242,0.97,96.80%
Publisher,2010_EML,147,147,0.59,58.80%
Publisher E-Mail,2010_EML,58,58,0.23,23.20%
Publisher URL,2010_EML,58,58,0.23,23.20%
Related Resource Citation,2010_EML,68,68,0.27,27.20%
Related Resource Identifier,2010_EML,12,12,0.05,4.80%
Resource Access Constraints,2010_EML,182,182,0.73,72.80%
Resource Contact,2010_EML,263,250,1.05,100.00%
Resource Creation/Revision Date,2010_EML,242,242,0.97,96.80%
Resource Distribution,2010_EML,206,206,0.82,82.40%
Resource Format,2010_EML,129,125,0.52,50.00%
Resource Identifier,2010_EML,250,250,1.00,100.00%
Resource Identifier Type,2010_EML,250,250,1.00,100.00%
Resource Language,2010_EML,6,6,0.02,2.40%
Resource Lineage,2010_EML,129,129,0.52,51.60%
Resource Long Name,2010_EML,250,250,1.00,100.00%
Resource Quality Description,2010_EML,12,12,0.05,4.80%
Resource Status,2010_EML,182,182,0.73,72.80%
Resource Title,2010_EML,250,250,1.00,100.00%
Resource Use Constraints,2010_EML,176,176,0.70,70.40%
Resource on-line Link,2010_EML,206,206,0.82,82.40%
Responsible Party Identifier,2010_EML,8,4,0.03,1.60%
Rights,2010_EML,176,176,0.70,70.40%
Security Constraints,2010_EML,182,182,0.73,72.80%
Southernmost Latitude,2010_EML,676,240,2.70,96.00%
Spatial Extent,2010_EML,687,240,2.75,96.00%
Start Time,2010_EML,201,201,0.80,80.40%
Supplemental Information,2010_EML,2,2,0.01,0.80%
Taxonomic Extent,2010_EML,12,12,0.05,4.80%
Temporal Extent,2010_EML,201,201,0.80,80.40%
Temporal Keyword,2010_EML,1,1,0.00,0.40%
Unknown,2010_EML,35251,250,141.00,100.00%
Vertical Maximum,2010_EML,45,45,0.18,18.00%
Vertical Minimum,2010_EML,45,45,0.18,18.00%
Vertical Resolution,2010_EML,45,45,0.18,18.00%
Westernmost Longitude,2010_EML,674,240,2.70,96.00%
