XPath,Collection,XPathCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2010_EML,250,250,1.00,100.00%
/eml/@packageId,2010_EML,250,250,1.00,100.00%
/eml/@scope,2010_EML,96,96,0.38,38.40%
/eml/@system,2010_EML,250,250,1.00,100.00%
/eml/@xsi:schemaLocation,2010_EML,250,250,1.00,100.00%
/eml/access,2010_EML,910,182,3.64,72.80%
/eml/access/@authSystem,2010_EML,182,182,0.73,72.80%
/eml/access/@order,2010_EML,182,182,0.73,72.80%
/eml/access/@scope,2010_EML,179,179,0.72,71.60%
/eml/access/@system,2010_EML,71,71,0.28,28.40%
/eml/access/allow/permission,2010_EML,363,182,1.45,72.80%
/eml/access/allow/principal,2010_EML,363,182,1.45,72.80%
/eml/additionalMetadata/additionalDataset/DatasetDistributionTypeandRestrictions,2010_EML,11,11,0.04,4.40%
/eml/additionalMetadata/additionalDataset/LTERsites/sitename,2010_EML,10,10,0.04,4.00%
/eml/additionalMetadata/additionalDataset/addDistribution/submissionDate,2010_EML,12,12,0.05,4.80%
/eml/additionalMetadata/additionalDataset/datasetAnomolies/anomolies,2010_EML,9,9,0.04,3.60%
/eml/additionalMetadata/additionalDataset/datasetInfoManagementNotes/notes,2010_EML,5,5,0.02,2.00%
/eml/additionalMetadata/additionalDataset/datasetPurpose/para,2010_EML,1,1,0.00,0.40%
/eml/additionalMetadata/additionalDataset/datasetSubmissionNotes/notes,2010_EML,6,6,0.02,2.40%
/eml/additionalMetadata/additionalDataset/projectHypotheses/para,2010_EML,10,10,0.04,4.00%
/eml/additionalMetadata/additionalDataset/projectPermits/permit,2010_EML,9,9,0.04,3.60%
/eml/additionalMetadata/additionalDataset/researchType,2010_EML,12,12,0.05,4.80%
/eml/additionalMetadata/metadata/additionalClassifications/researchTopic,2010_EML,4,2,0.02,0.80%
/eml/additionalMetadata/metadata/additionalClassifications/status,2010_EML,2,2,0.01,0.80%
/eml/additionalMetadata/metadata/additionalClassifications/studyType,2010_EML,2,2,0.01,0.80%
/eml/additionalMetadata/metadata/additionalLinks/url,2010_EML,2,2,0.01,0.80%
/eml/additionalMetadata/metadata/additionalLinks/url/@name,2010_EML,2,2,0.01,0.80%
/eml/additionalMetadata/metadata/ns2:unitList/@convention,2010_EML,34,34,0.14,13.60%
/eml/additionalMetadata/metadata/ns2:unitList/@xsi:schemaLocation,2010_EML,14,14,0.06,5.60%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@abbreviation,2010_EML,30,10,0.12,4.00%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@constantToSI,2010_EML,40,33,0.16,13.20%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@id,2010_EML,94,45,0.38,18.00%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@multiplierToSI,2010_EML,45,35,0.18,14.00%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@name,2010_EML,94,45,0.38,18.00%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@parentSI,2010_EML,18,8,0.07,3.20%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@unitType,2010_EML,28,11,0.11,4.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/ns2:description,2010_EML,79,38,0.32,15.20%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unitType/@id,2010_EML,12,6,0.05,2.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unitType/@name,2010_EML,12,6,0.05,2.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unitType/ns2:dimension/@name,2010_EML,14,6,0.06,2.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unitType/ns2:dimension/@power,2010_EML,12,6,0.05,2.40%
/eml/additionalMetadata/metadata/unitList/unit/@abbreviation,2010_EML,287,72,1.15,28.80%
/eml/additionalMetadata/metadata/unitList/unit/@id,2010_EML,377,114,1.51,45.60%
/eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,2010_EML,287,72,1.15,28.80%
/eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,2010_EML,32,22,0.13,8.80%
/eml/additionalMetadata/metadata/unitList/unit/@name,2010_EML,252,93,1.01,37.20%
/eml/additionalMetadata/metadata/unitList/unit/@parentSI,2010_EML,246,93,0.98,37.20%
/eml/additionalMetadata/metadata/unitList/unit/@unitType,2010_EML,252,93,1.01,37.20%
/eml/additionalMetadata/metadata/unitList/unit/description,2010_EML,252,93,1.01,37.20%
/eml/additionalMetadata/ns2:unitList/@convention,2010_EML,9,9,0.04,3.60%
/eml/additionalMetadata/ns2:unitList/@xsi:schemaLocation,2010_EML,9,9,0.04,3.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@constantToSI,2010_EML,9,9,0.04,3.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@id,2010_EML,14,9,0.06,3.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@multiplierToSI,2010_EML,14,9,0.06,3.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@name,2010_EML,14,9,0.06,3.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@parentSI,2010_EML,5,5,0.02,2.00%
/eml/additionalMetadata/ns2:unitList/ns2:unit/@unitType,2010_EML,14,9,0.06,3.60%
/eml/additionalMetadata/ns2:unitList/ns2:unit/ns2:description,2010_EML,14,9,0.06,3.60%
/eml/additionalMetadata/unitList/unit/@id,2010_EML,37,9,0.15,3.60%
/eml/additionalMetadata/unitList/unit/@multiplierToSI,2010_EML,23,9,0.09,3.60%
/eml/additionalMetadata/unitList/unit/@name,2010_EML,37,9,0.15,3.60%
/eml/additionalMetadata/unitList/unit/@parentSI,2010_EML,20,9,0.08,3.60%
/eml/additionalMetadata/unitList/unit/@unitType,2010_EML,29,9,0.12,3.60%
/eml/additionalMetadata/unitList/unit/description,2010_EML,37,9,0.15,3.60%
/eml/dataset/@id,2010_EML,25,25,0.10,10.00%
/eml/dataset/@scope,2010_EML,132,132,0.53,52.80%
/eml/dataset/abstract,2010_EML,244,244,0.98,97.60%
/eml/dataset/abstract/para,2010_EML,817,229,3.27,91.60%
/eml/dataset/abstract/para/itemizedlist/listitem/para,2010_EML,3,1,0.01,0.40%
/eml/dataset/abstract/para/itemizedlist/listitem/para/emphasis,2010_EML,1,1,0.00,0.40%
/eml/dataset/abstract/para/itemizedlist/listitem/para/superscript,2010_EML,1,1,0.00,0.40%
/eml/dataset/abstract/para/literalLayout,2010_EML,3,3,0.01,1.20%
/eml/dataset/abstract/para/superscript,2010_EML,1,1,0.00,0.40%
/eml/dataset/abstract/section/para,2010_EML,23,12,0.09,4.80%
/eml/dataset/abstract/section/title,2010_EML,8,8,0.03,3.20%
/eml/dataset/access/@authSystem,2010_EML,68,68,0.27,27.20%
/eml/dataset/access/@order,2010_EML,68,68,0.27,27.20%
/eml/dataset/access/@scope,2010_EML,68,68,0.27,27.20%
/eml/dataset/access/allow/permission,2010_EML,136,68,0.54,27.20%
/eml/dataset/access/allow/principal,2010_EML,136,68,0.54,27.20%
/eml/dataset/additionalInfo,2010_EML,2,2,0.01,0.80%
/eml/dataset/additionalInfo/section/para/literalLayout,2010_EML,5,2,0.02,0.80%
/eml/dataset/additionalInfo/section/title,2010_EML,5,2,0.02,0.80%
/eml/dataset/alternateIdentifier,2010_EML,93,93,0.37,37.20%
/eml/dataset/alternateIdentifier/@system,2010_EML,3,3,0.01,1.20%
/eml/dataset/associatedParty,2010_EML,197,85,0.79,34.00%
/eml/dataset/associatedParty/@id,2010_EML,8,4,0.03,1.60%
/eml/dataset/associatedParty/@scope,2010_EML,27,27,0.11,10.80%
/eml/dataset/associatedParty/address/@scope,2010_EML,13,13,0.05,5.20%
/eml/dataset/associatedParty/address/administrativeArea,2010_EML,65,49,0.26,19.60%
/eml/dataset/associatedParty/address/city,2010_EML,65,49,0.26,19.60%
/eml/dataset/associatedParty/address/country,2010_EML,46,44,0.18,17.60%
/eml/dataset/associatedParty/address/deliveryPoint,2010_EML,121,48,0.48,19.20%
/eml/dataset/associatedParty/address/postalCode,2010_EML,70,49,0.28,19.60%
/eml/dataset/associatedParty/electronicMailAddress,2010_EML,101,28,0.40,11.20%
/eml/dataset/associatedParty/individualName/givenName,2010_EML,213,85,0.85,34.00%
/eml/dataset/associatedParty/individualName/salutation,2010_EML,2,2,0.01,0.80%
/eml/dataset/associatedParty/individualName/surName,2010_EML,196,85,0.78,34.00%
/eml/dataset/associatedParty/onlineUrl,2010_EML,13,12,0.05,4.80%
