XPath,Collection,XPathCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,2014_EML,250,250,1.00,100.00%
/eml/@packageId,2014_EML,250,250,1.00,100.00%
/eml/@scope,2014_EML,78,78,0.31,31.20%
/eml/@system,2014_EML,250,250,1.00,100.00%
/eml/@xsi:schemaLocation,2014_EML,250,250,1.00,100.00%
/eml/access,2014_EML,1250,250,5.00,100.00%
/eml/access/@authSystem,2014_EML,250,250,1.00,100.00%
/eml/access/@order,2014_EML,250,250,1.00,100.00%
/eml/access/@scope,2014_EML,230,230,0.92,92.00%
/eml/access/allow/permission,2014_EML,487,250,1.95,100.00%
/eml/access/allow/principal,2014_EML,500,250,2.00,100.00%
/eml/additionalMetadata/metadata/additionalDataset/DatasetDistributionTypeandRestrictions,2014_EML,21,21,0.08,8.40%
/eml/additionalMetadata/metadata/additionalDataset/LTERsites/sitename,2014_EML,19,19,0.08,7.60%
/eml/additionalMetadata/metadata/additionalDataset/addDistribution/submissionDate,2014_EML,18,18,0.07,7.20%
/eml/additionalMetadata/metadata/additionalDataset/datasetInfoManagementNotes/notes,2014_EML,16,16,0.06,6.40%
/eml/additionalMetadata/metadata/additionalDataset/datasetPurpose/para,2014_EML,5,5,0.02,2.00%
/eml/additionalMetadata/metadata/additionalDataset/projectHypotheses/para,2014_EML,5,5,0.02,2.00%
/eml/additionalMetadata/metadata/additionalDataset/projectPermits/permit,2014_EML,11,11,0.04,4.40%
/eml/additionalMetadata/metadata/additionalDataset/researchType,2014_EML,21,21,0.08,8.40%
/eml/additionalMetadata/metadata/localtags/projectId,2014_EML,1,1,0.00,0.40%
/eml/additionalMetadata/metadata/localtags/system,2014_EML,9,9,0.04,3.60%
/eml/additionalMetadata/metadata/localtags/weight,2014_EML,9,9,0.04,3.60%
/eml/additionalMetadata/metadata/ns2:unitList/@xsi:schemaLocation,2014_EML,26,26,0.10,10.40%
/eml/additionalMetadata/metadata/ns2:unitList/ns2:unit/@abbreviation,2014_EML,73,24,0.29,9.60%
