XPath,VCR_2005_EML,VCR_2006_EML,VCR_2007_EML,VCR_2008_EML,VCR_2009_EML,VCR_2010_EML,VCR_2011_EML,VCR_2012_EML,VCR_2013_EML,VCR_2014_EML,VCR_2015_EML,VCR_2016_EML,VCR_2017_EML,VCR_2018_EML
/eml:eml/dataset/access/@authSystem,0.19,0.1,0.08,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.19,0.1,0.08,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.19,0.1,0.08,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,0.39,0.2,0.16,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,0.39,0.2,0.16,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/para,0.11,0.0,0.0,0.3,0.05,1.0,0.0,0.07,0.0,1.0,0.16,0.47,0.26,0.31
/eml:eml/dataset/additionalInfo/section/para/literalLayout,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.04,0.02
/eml:eml/dataset/additionalInfo/section/para/orderedlist/listitem/para,0.36,1.32,0.64,0.65,1.01,1.0,0.5,0.3,0.0,0.13,0.38,0.53,0.22,0.3
/eml:eml/dataset/additionalInfo/section/section/para,0.03,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/section/para/literalLayout,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo/section/title,0.31,0.5,0.64,1.05,0.69,2.0,0.5,0.32,0.0,0.53,0.38,0.63,0.44,0.39
