Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator World Wide Web Address,Bounding Box,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Parent Identifier,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Format,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2017,189.15.xml,1.0,22.0,1.0,3.0,3.0,3.0,10.0,1.0,9.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,0.0,1.0,307.0,0.0,0.0,0.0,9.0
2017,209.10.xml,1.0,19.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,242.0,0.0,0.0,0.0,2.0
2017,236.7.xml,1.0,17.0,1.0,1.0,1.0,1.0,13.0,1.0,13.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,1.0,0.0,1.0,1.0,393.0,1.0,1.0,1.0,13.0
2017,246.2.xml,1.0,16.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,801.0,0.0,0.0,0.0,1.0
2017,247.7.xml,1.0,111.0,1.0,2.0,2.0,2.0,18.0,1.0,17.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,1.0,0.0,0.0,1.0,584.0,0.0,0.0,0.0,17.0
2017,252.2.xml,1.0,15.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,196.0,0.0,0.0,0.0,2.0
2017,256.2.xml,1.0,15.0,1.0,2.0,2.0,1.0,12.0,1.0,12.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,1.0,0.0,0.0,1.0,199.0,0.0,0.0,0.0,12.0
2017,261.1.xml,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,173.0,0.0,0.0,0.0,1.0
2017,262.2.xml,1.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,275.0,0.0,0.0,0.0,1.0
2017,41.16.xml,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,189.0,1.0,1.0,1.0,1.0
