Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator Identifier Type,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Metadata Access Constraints,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2012,3017.1.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0
2012,3017.2.xml,1.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,154.0,0.0,0.0,0.0,1.0
2012,3017.3.xml,1.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,154.0,0.0,0.0,0.0,1.0
2012,3018.1.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0
2012,3018.3.xml,1.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,154.0,0.0,0.0,0.0,1.0
2012,3018.4.xml,1.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,154.0,0.0,0.0,0.0,1.0
2012,46.1.xml,1.0,0.0,18.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,24.0,3.0,7.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,300.0,1.0,1.0,1.0,11.0
2012,46.2.xml,1.0,0.0,18.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,24.0,3.0,7.0,1.0,1.0,11.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,266.0,1.0,1.0,1.0,11.0
2012,46.3.xml,1.0,0.0,18.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,24.0,3.0,7.0,1.0,1.0,11.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,266.0,1.0,1.0,1.0,11.0
2012,47.1.xml,1.0,0.0,20.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,56.0,3.0,7.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,477.0,1.0,1.0,1.0,11.0
2012,47.2.xml,1.0,0.0,20.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,56.0,3.0,7.0,1.0,1.0,11.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,445.0,1.0,1.0,1.0,11.0
2012,47.3.xml,1.0,0.0,20.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,56.0,3.0,7.0,1.0,1.0,11.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,445.0,1.0,1.0,1.0,11.0
2012,48.2.xml,1.0,0.0,10.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,23.0,3.0,7.0,1.0,1.0,11.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,245.0,1.0,1.0,1.0,11.0
2012,48.3.xml,1.0,0.0,10.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,23.0,3.0,7.0,1.0,1.0,11.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,245.0,1.0,1.0,1.0,11.0
2012,51.2.xml,1.0,0.0,16.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,29.0,3.0,7.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,221.0,0.0,0.0,0.0,4.0
2012,51.3.xml,1.0,0.0,16.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,29.0,3.0,7.0,1.0,1.0,4.0,2.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,202.0,0.0,0.0,0.0,4.0
2012,51.4.xml,1.0,0.0,16.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,29.0,3.0,7.0,1.0,1.0,4.0,2.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,202.0,0.0,0.0,0.0,4.0
2012,51.5.xml,1.0,0.0,15.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,29.0,3.0,7.0,1.0,1.0,4.0,2.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,202.0,0.0,0.0,0.0,4.0
2012,52.2.xml,1.0,0.0,20.0,1.0,5.0,5.0,0.0,5.0,0.0,2.0,7.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,30.0,3.0,6.0,1.0,1.0,7.0,2.0,1.0,0.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,510.0,0.0,0.0,0.0,7.0
2012,52.3.xml,1.0,0.0,20.0,1.0,5.0,5.0,0.0,5.0,0.0,3.0,7.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,30.0,3.0,6.0,1.0,1.0,7.0,2.0,1.0,0.0,10.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,511.0,0.0,0.0,0.0,7.0
2012,53.2.xml,1.0,0.0,13.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,22.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,205.0,0.0,0.0,0.0,1.0
2012,53.3.xml,1.0,0.0,13.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,22.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,183.0,0.0,0.0,0.0,1.0
2012,53.4.xml,1.0,0.0,13.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,22.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,183.0,0.0,0.0,0.0,1.0
2012,54.2.xml,1.0,0.0,4.0,1.0,4.0,4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,0.0,14.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177.0,0.0,0.0,0.0,1.0
2012,54.3.xml,1.0,0.0,4.0,1.0,4.0,4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,0.0,14.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.0,0.0,0.0,0.0,1.0
2012,54.4.xml,1.0,28.0,4.0,1.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,28.0,28.0,1.0,25.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,0.0,10.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,506.0,0.0,0.0,0.0,1.0
2012,54.5.xml,1.0,0.0,4.0,1.0,4.0,4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,0.0,14.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.0,0.0,0.0,0.0,1.0
