Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Metadata Access Constraints,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Unknown,Westernmost Longitude
2017,100.1.xml,1.0,27.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,7.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,309.0,2.0
2017,100.10.xml,1.0,27.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,7.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,310.0,2.0
2017,100.2.xml,1.0,27.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,7.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,310.0,2.0
2017,107.1.xml,1.0,18.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,15.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,263.0,3.0
2017,108.1.xml,1.0,11.0,2.0,5.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,14.0,0.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,208.0,1.0
2017,109.1.xml,1.0,20.0,2.0,6.0,6.0,0.0,6.0,2.0,1.0,2.0,1.0,2.0,2.0,14.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,231.0,2.0
2017,13.21.xml,1.0,5.0,1.0,2.0,2.0,0.0,2.0,11.0,1.0,11.0,1.0,1.0,1.0,17.0,0.0,5.0,1.0,1.0,11.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,1.0,0.0,1.0,181.0,11.0
2017,15.25.xml,1.0,23.0,1.0,2.0,2.0,0.0,2.0,11.0,1.0,11.0,1.0,1.0,1.0,20.0,0.0,6.0,1.0,1.0,11.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,1.0,0.0,1.0,244.0,11.0
2017,17.30.xml,1.0,30.0,1.0,2.0,2.0,0.0,2.0,11.0,1.0,11.0,1.0,1.0,1.0,17.0,0.0,6.0,1.0,1.0,11.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,1.0,0.0,1.0,253.0,11.0
2017,18.20.xml,1.0,12.0,1.0,2.0,2.0,0.0,2.0,11.0,1.0,11.0,1.0,1.0,1.0,19.0,0.0,5.0,1.0,1.0,11.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,1.0,0.0,1.0,290.0,11.0
