Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Metadata Access Constraints,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2016,21.16.xml,1.0,39.0,3.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,34.0,3.0,8.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,382.0,0.0,0.0,0.0,3.0
2016,24.16.xml,1.0,16.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,15.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,234.0,0.0,0.0,0.0,3.0
2016,25.17.xml,1.0,26.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,25.0,2.0,6.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,290.0,0.0,0.0,0.0,5.0
2016,26.15.xml,1.0,24.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,25.0,3.0,6.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,277.0,0.0,0.0,0.0,5.0
2016,28.22.xml,1.0,24.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,29.0,2.0,8.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,298.0,0.0,0.0,0.0,5.0
2016,29.14.xml,1.0,12.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,27.0,3.0,7.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,275.0,0.0,0.0,0.0,5.0
2016,30.14.xml,1.0,31.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,24.0,2.0,8.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,307.0,0.0,0.0,0.0,5.0
2016,34.12.xml,1.0,29.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,29.0,2.0,7.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,299.0,0.0,0.0,0.0,5.0
2016,36.10.xml,1.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,16.0,2.0,6.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,188.0,0.0,0.0,0.0,4.0
2016,49.9.xml,1.0,24.0,1.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,32.0,3.0,6.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,274.0,0.0,0.0,0.0,4.0
