XPath,SBC_2005_EML,SBC_2006_EML,SBC_2007_EML,SBC_2008_EML,SBC_2009_EML,SBC_2010_EML,SBC_2011_EML,SBC_2012_EML,SBC_2013_EML,SBC_2014_EML,SBC_2015_EML,SBC_2016_EML,SBC_2017_EML,SBC_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.98,0.89,1.0,1.0,1.0,0.87,0.84,0.98,1.0,1.0,1.0,1.0,0.19,0.85
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.35,0.27,0.44,0.6,0.59,0.87,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.35,0.27,0.44,0.6,0.59,0.87,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.22,0.13,0.33,0.4,0.13,0.36,0.37,0.26,0.78,0.0,0.03,0.0,0.81,0.25
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,1.0,1.0
/eml:eml/access/allow/permission,1.28,0.84,1.56,2.0,1.53,2.51,2.89,2.51,2.22,2.0,2.0,2.0,3.59,2.29
/eml:eml/access/allow/principal,1.28,0.84,1.56,2.0,1.53,2.51,2.89,2.51,2.22,2.0,2.0,2.0,3.59,2.29
/eml:eml/additionalMetadata/access/@authSystem,0.49,0.6,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/access/@order,0.49,0.6,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/access/@scope,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/access/allow/permission,3.29,3.71,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/access/allow/principal,3.29,3.71,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/describes,0.51,0.71,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/attributeAnnotation/additionalInformation,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/attributeAnnotation/attributeList/attribute/@id,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/attributeAnnotation/attributeList/attribute/annotations/@system,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/attributeAnnotation/attributeList/attribute/annotations/annotation,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/attributeAnnotation/attributeList/attribute/annotations/annotation/@system,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/attributeAnnotation/attributeList/attribute/annotations/sms:characteristic/@id,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/attributeAnnotation/attributeList/attribute/annotations/sms:entity/@id,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/attributeAnnotation/attributeList/attribute/annotations/sms:protocol/@id,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/attributeAnnotation/attributeList/attribute/annotations/sms:standard/@id,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.31,0.91,0.67,0.7,2.76,1.2,2.37,0.81,0.22,2.0,3.78,1.85,0.85,2.24
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.14,0.47,0.33,0.1,1.02,0.51,1.21,0.26,0.22,0.5,1.39,0.79,0.07,0.93
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.48,1.49,1.11,0.9,4.04,1.87,3.21,1.49,0.67,2.5,5.57,2.91,1.41,2.82
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,0.3,0.76,0.56,0.7,2.66,1.0,2.16,0.68,0.22,2.0,3.6,1.88,1.15,2.16
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.48,1.49,1.11,0.9,4.04,1.87,3.21,1.49,0.67,2.5,5.57,2.91,1.41,2.82
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.24,0.89,0.67,0.3,2.41,0.98,1.84,0.49,0.22,1.5,3.29,1.64,0.44,1.74
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.4,1.33,1.0,0.9,3.36,1.62,2.89,1.23,0.67,2.0,4.53,2.42,1.19,1.66
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.47,1.4,1.0,0.9,4.03,1.76,3.11,1.43,0.67,2.5,5.48,2.88,1.41,2.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.23,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.23,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.6,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.38,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@abbreviation,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@constantToSI,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@id,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@multiplierToSI,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@name,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@unitType,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/stmml:description,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,0.94,2.58,3.11,0.0,1.26,0.18,2.32,0.04,0.0,0.0,0.0,0.0,1.33,0.38
/eml:eml/additionalMetadata/metadata/unitList/unit/@constantToSI,0.0,0.0,0.0,0.0,0.0,0.09,0.63,0.04,0.0,0.0,0.0,0.0,0.37,0.18
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,1.53,3.58,3.89,0.0,2.01,0.31,2.53,0.04,0.44,0.0,0.0,0.0,1.96,0.62
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,1.33,3.31,3.89,0.0,1.71,0.22,1.68,0.0,0.44,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,0.07,0.0,0.0,0.0,0.02,0.09,0.63,0.04,0.0,0.0,0.0,0.0,1.3,0.38
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,1.53,3.58,3.89,0.0,2.09,0.31,2.53,0.09,0.44,0.0,0.0,0.0,1.96,0.62
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,1.53,3.58,3.89,0.0,2.01,0.31,2.32,0.04,0.44,0.0,0.0,0.0,1.04,0.26
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,1.53,3.58,3.89,0.0,2.01,0.31,2.53,0.04,0.44,0.0,0.0,0.0,1.96,0.62
/eml:eml/additionalMetadata/metadata/unitList/unit/description,1.53,3.58,3.89,0.0,2.01,0.31,2.53,0.04,0.44,0.0,0.0,0.0,1.89,0.6
/eml:eml/additionalMetadata/metadata/unitList/unitType/@id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unitType/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unitType/dimension/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unitType/dimension/@power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/unitType/stmml:dimension/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/alternateIdentifier,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/entityDescription,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/entityName,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/entityType,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/physical/@scope,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/physical/dataFormat/externallyDefinedFormat/formatName,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/physical/distribution/@id,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/physical/distribution/@scope,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/physical/distribution/online/url,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/physical/distribution/online/url/@function,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/otherEntity/physical/objectName,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@abbreviation,0.28,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@id,0.42,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@multiplerToSI,0.34,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/unitList/unit/@name,0.42,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
