Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator Identifier Type,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2015,1009.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,889.0,30.0,30.0,1.0,33.0
2015,1010.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,888.0,30.0,30.0,1.0,33.0
2015,1011.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,887.0,30.0,30.0,1.0,33.0
2015,1012.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,889.0,30.0,30.0,1.0,33.0
2015,1013.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,889.0,30.0,30.0,1.0,33.0
2015,1014.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,888.0,30.0,30.0,1.0,33.0
2015,1015.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,888.0,30.0,30.0,1.0,33.0
2015,1016.7.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,889.0,30.0,30.0,1.0,33.0
2015,1101.6.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,489.0,1.0,1.0,1.0,1.0
2015,1102.6.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,485.0,1.0,1.0,1.0,1.0
2015,1103.6.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,485.0,1.0,1.0,1.0,1.0
2015,1104.6.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,485.0,1.0,1.0,1.0,1.0
2015,1105.6.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,485.0,1.0,1.0,1.0,1.0
