Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2012_EML,47,47,1.00,100.00%
Abstract,2012_EML,45,45,0.96,95.74%
Attribute Constraints,2012_EML,30,3,0.64,6.38%
Attribute Definition,2012_EML,557,45,11.85,95.74%
Attribute List,2012_EML,56,45,1.19,95.74%
Author,2012_EML,168,45,3.57,95.74%
Author / Originator,2012_EML,168,45,3.57,95.74%
Author / Originator Email Address,2012_EML,12,12,0.26,25.53%
Author / Originator Identifier,2012_EML,167,45,3.55,95.74%
Author / Originator Identifier Type,2012_EML,16,12,0.34,25.53%
Author / Originator World Wide Web Address,2012_EML,150,45,3.19,95.74%
Bounding Box,2012_EML,256,45,5.45,95.74%
Contributor Name,2012_EML,3,3,0.06,6.38%
Contributor Role,2012_EML,3,3,0.06,6.38%
Distribution Format,2012_EML,49,45,1.04,95.74%
Easternmost Longitude,2012_EML,256,45,5.45,95.74%
End Time,2012_EML,39,39,0.83,82.98%
Entity Type Definition,2012_EML,110,45,2.34,95.74%
Entity and Attribute Information,2012_EML,110,45,2.34,95.74%
Instrument,2012_EML,5,5,0.11,10.64%
Keyword,2012_EML,1444,45,30.72,95.74%
Keyword Type,2012_EML,123,45,2.62,95.74%
Keyword Vocabulary,2012_EML,287,45,6.11,95.74%
Metadata Access Constraints,2012_EML,45,45,0.96,95.74%
Metadata Use Constraints,2012_EML,45,45,0.96,95.74%
Northernmost Latitude,2012_EML,255,45,5.43,95.74%
Organization Name,2012_EML,90,45,1.91,95.74%
Originating Organization,2012_EML,45,45,0.96,95.74%
Parent Identifier,2012_EML,12,12,0.26,25.53%
Place Keyword,2012_EML,220,45,4.68,95.74%
Process Step,2012_EML,45,45,0.96,95.74%
Project Description,2012_EML,45,45,0.96,95.74%
Project Name,2012_EML,150,45,3.19,95.74%
Publication Date,2012_EML,45,45,0.96,95.74%
Publisher,2012_EML,45,45,0.96,95.74%
Related Resource Citation,2012_EML,45,45,0.96,95.74%
Related Resource Identifier,2012_EML,12,12,0.26,25.53%
Resource Access Constraints,2012_EML,45,45,0.96,95.74%
Resource Contact,2012_EML,45,45,0.96,95.74%
Resource Creation/Revision Date,2012_EML,45,45,0.96,95.74%
Resource Distribution,2012_EML,45,45,0.96,95.74%
Resource Format,2012_EML,49,45,1.04,95.74%
Resource Identifier,2012_EML,45,45,0.96,95.74%
Resource Identifier Type,2012_EML,45,45,0.96,95.74%
Resource Language,2012_EML,33,33,0.70,70.21%
Resource Lineage,2012_EML,45,45,0.96,95.74%
Resource Long Name,2012_EML,45,45,0.96,95.74%
Resource Status,2012_EML,45,45,0.96,95.74%
Resource Title,2012_EML,45,45,0.96,95.74%
Resource Use Constraints,2012_EML,45,45,0.96,95.74%
Resource on-line Link,2012_EML,45,45,0.96,95.74%
Responsible Party Identifier,2012_EML,2,2,0.04,4.26%
Rights,2012_EML,45,45,0.96,95.74%
Security Constraints,2012_EML,45,45,0.96,95.74%
Southernmost Latitude,2012_EML,255,45,5.43,95.74%
Spatial Extent,2012_EML,256,45,5.45,95.74%
Start Time,2012_EML,39,39,0.83,82.98%
Taxonomic Extent,2012_EML,30,30,0.64,63.83%
Temporal Extent,2012_EML,42,42,0.89,89.36%
Unknown,2012_EML,12790,47,272.13,100.00%
Vertical Maximum,2012_EML,12,12,0.26,25.53%
Vertical Minimum,2012_EML,12,12,0.26,25.53%
Vertical Resolution,2012_EML,12,12,0.26,25.53%
Westernmost Longitude,2012_EML,256,45,5.45,95.74%
