Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,GCE_2016_EML,41.0,41.0,1.0,1.0
Resource Identifier,GCE_2016_EML,41.0,41.0,1.0,1.0
Resource Title,GCE_2016_EML,41.0,41.0,1.0,1.0
Author / Originator,GCE_2016_EML,82.0,41.0,2.0,1.0
Metadata Contact,GCE_2016_EML,41.0,41.0,1.0,1.0
Contributor Name,GCE_2016_EML,152.0,41.0,3.71,1.0
Publisher,GCE_2016_EML,41.0,41.0,1.0,1.0
Publication Date,GCE_2016_EML,41.0,41.0,1.0,1.0
Resource Contact,GCE_2016_EML,77.0,41.0,1.88,1.0
Abstract,GCE_2016_EML,41.0,41.0,1.0,1.0
Keyword,GCE_2016_EML,1269.0,41.0,30.95,1.0
Resource Distribution,GCE_2016_EML,41.0,41.0,1.0,1.0
Spatial Extent,GCE_2016_EML,39.0,39.0,0.95,0.951219512195122
Taxonomic Extent,GCE_2016_EML,15.0,15.0,0.37,0.36585365853658536
Temporal Extent,GCE_2016_EML,41.0,41.0,1.0,1.0
Maintenance,GCE_2016_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,GCE_2016_EML,41.0,41.0,1.0,1.0
Process Step,GCE_2016_EML,41.0,41.0,1.0,1.0
Project Description,GCE_2016_EML,41.0,41.0,1.0,1.0
Entity Type Definition,GCE_2016_EML,172.0,41.0,4.2,1.0
Attribute Definition,GCE_2016_EML,5172.0,41.0,126.15,1.0
Resource Access Constraints,GCE_2016_EML,41.0,41.0,1.0,1.0
Resource Format,GCE_2016_EML,172.0,41.0,4.2,1.0
Attribute List,GCE_2016_EML,172.0,41.0,4.2,1.0
Attribute Constraints,GCE_2016_EML,0.0,0.0,0.0,0.0
Resource Quality Description,GCE_2016_EML,172.0,41.0,4.2,1.0
