Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2015_EML,281,281,1.00,100.00%
Abstract,2015_EML,280,280,1.00,99.64%
Attribute Definition,2015_EML,3410,281,12.14,100.00%
Attribute List,2015_EML,289,281,1.03,100.00%
Author,2015_EML,435,281,1.55,100.00%
Author / Originator,2015_EML,435,281,1.55,100.00%
Author / Originator World Wide Web Address,2015_EML,402,268,1.43,95.37%
Bounding Box,2015_EML,630,233,2.24,82.92%
Contributor Name,2015_EML,842,227,3.00,80.78%
Contributor Role,2015_EML,419,227,1.49,80.78%
Distribution Format,2015_EML,286,281,1.02,100.00%
Easternmost Longitude,2015_EML,621,233,2.21,82.92%
End Time,2015_EML,294,268,1.05,95.37%
Entity Type Definition,2015_EML,273,253,0.97,90.04%
Entity and Attribute Information,2015_EML,273,253,0.97,90.04%
Instrument,2015_EML,37,37,0.13,13.17%
Keyword,2015_EML,4778,281,17.00,100.00%
Keyword Vocabulary,2015_EML,549,278,1.95,98.93%
Maintenance,2015_EML,157,157,0.56,55.87%
Metadata Access Constraints,2015_EML,281,281,1.00,100.00%
Metadata Contact,2015_EML,27,27,0.10,9.61%
Metadata Use Constraints,2015_EML,281,281,1.00,100.00%
Northernmost Latitude,2015_EML,595,233,2.12,82.92%
Organization Name,2015_EML,1127,281,4.01,100.00%
Originating Organization,2015_EML,281,281,1.00,100.00%
Process Step,2015_EML,275,275,0.98,97.86%
Project Description,2015_EML,3,3,0.01,1.07%
Project Name,2015_EML,402,268,1.43,95.37%
Publication Date,2015_EML,238,238,0.85,84.70%
Publisher,2015_EML,30,30,0.11,10.68%
Purpose,2015_EML,62,62,0.22,22.06%
Related Resource Citation,2015_EML,3,3,0.01,1.07%
Resource Access Constraints,2015_EML,281,281,1.00,100.00%
Resource Contact,2015_EML,586,281,2.09,100.00%
Resource Creation/Revision Date,2015_EML,238,238,0.85,84.70%
Resource Distribution,2015_EML,278,278,0.99,98.93%
Resource Format,2015_EML,286,281,1.02,100.00%
Resource Identifier,2015_EML,281,281,1.00,100.00%
Resource Identifier Type,2015_EML,281,281,1.00,100.00%
Resource Language,2015_EML,278,278,0.99,98.93%
Resource Lineage,2015_EML,275,275,0.98,97.86%
Resource Long Name,2015_EML,281,281,1.00,100.00%
Resource Quality Description,2015_EML,66,66,0.23,23.49%
Resource Status,2015_EML,281,281,1.00,100.00%
Resource Title,2015_EML,281,281,1.00,100.00%
Resource Use Constraints,2015_EML,281,281,1.00,100.00%
Resource on-line Link,2015_EML,278,278,0.99,98.93%
Rights,2015_EML,281,281,1.00,100.00%
Security Constraints,2015_EML,281,281,1.00,100.00%
Southernmost Latitude,2015_EML,595,233,2.12,82.92%
Spatial Extent,2015_EML,630,233,2.24,82.92%
Start Time,2015_EML,294,268,1.05,95.37%
Supplemental Information,2015_EML,231,231,0.82,82.21%
Temporal Extent,2015_EML,306,280,1.09,99.64%
Unknown,2015_EML,37158,281,132.23,100.00%
Vertical Maximum,2015_EML,447,214,1.59,76.16%
Vertical Minimum,2015_EML,447,214,1.59,76.16%
Vertical Resolution,2015_EML,214,214,0.76,76.16%
Westernmost Longitude,2015_EML,621,233,2.21,82.92%
