Collection,Record,Resource Quality Description,Unknown
2007,144.1.xml,0.0,231.0
2007,144.26247.xml,0.0,195.0
2007,144.27713.xml,0.0,191.0
2007,15.23078.xml,1.0,195.0
2007,15.25199.xml,1.0,191.0
2007,157.104399.xml,0.0,243.0
2007,157.115248.xml,0.0,248.0
2007,157.127320.xml,0.0,252.0
2007,157.127879.xml,0.0,241.0
2007,157.128187.xml,0.0,241.0
2007,157.90409.xml,0.0,235.0
2007,157.95226.xml,0.0,235.0
2007,157.95532.xml,0.0,235.0
2007,182.1.xml,0.0,185.0
2007,182.61195.xml,0.0,223.0
2007,182.66012.xml,0.0,223.0
2007,182.66218.xml,0.0,223.0
2007,182.73124.xml,0.0,233.0
2007,182.91790.xml,0.0,214.0
2007,21.1.xml,0.0,150.0
2007,49.48296.xml,0.0,141.0
2007,49.50157.xml,0.0,141.0
2007,49.51353.xml,0.0,138.0
2007,51.1.xml,0.0,182.0
2007,52.1.xml,0.0,218.0
2007,52.57016.xml,0.0,199.0
2007,52.62438.xml,0.0,209.0
2007,52.63688.xml,0.0,199.0
2007,52.64066.xml,0.0,199.0
2007,54.28194.xml,0.0,136.0
2007,54.29388.xml,0.0,132.0
2007,54.29724.xml,0.0,138.0
2007,65.51633.xml,0.0,178.0
2007,65.53490.xml,0.0,178.0
2007,65.58917.xml,0.0,188.0
2007,65.59544.xml,0.0,179.0
2007,65.60486.xml,0.0,165.0
2007,9.75391.xml,0.0,194.0
2007,9.77283.xml,0.0,194.0
2007,9.82705.xml,0.0,207.0
2007,9.83380.xml,0.0,214.0
2007,9.83771.xml,0.0,200.0
2007,9.83868.xml,0.0,200.0
