Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2009_EML,8,8,1.00,100.00%
Abstract,2009_EML,1,1,0.12,12.50%
Author,2009_EML,1,1,0.12,12.50%
Author / Originator,2009_EML,1,1,0.12,12.50%
Author / Originator World Wide Web Address,2009_EML,1,1,0.12,12.50%
Bounding Box,2009_EML,9,1,1.12,12.50%
Contributor Name,2009_EML,4,1,0.50,12.50%
Contributor Role,2009_EML,2,1,0.25,12.50%
Easternmost Longitude,2009_EML,9,1,1.12,12.50%
End Time,2009_EML,1,1,0.12,12.50%
Maintenance,2009_EML,1,1,0.12,12.50%
Metadata Access Constraints,2009_EML,1,1,0.12,12.50%
Metadata Contact,2009_EML,1,1,0.12,12.50%
Metadata Use Constraints,2009_EML,1,1,0.12,12.50%
Northernmost Latitude,2009_EML,9,1,1.12,12.50%
Process Step,2009_EML,1,1,0.12,12.50%
Project Name,2009_EML,1,1,0.12,12.50%
Publication Date,2009_EML,1,1,0.12,12.50%
Resource Access Constraints,2009_EML,1,1,0.12,12.50%
Resource Contact,2009_EML,1,1,0.12,12.50%
Resource Creation/Revision Date,2009_EML,1,1,0.12,12.50%
Resource Identifier,2009_EML,1,1,0.12,12.50%
Resource Identifier Type,2009_EML,1,1,0.12,12.50%
Resource Language,2009_EML,1,1,0.12,12.50%
Resource Lineage,2009_EML,1,1,0.12,12.50%
Resource Long Name,2009_EML,1,1,0.12,12.50%
Resource Status,2009_EML,1,1,0.12,12.50%
Resource Title,2009_EML,1,1,0.12,12.50%
Resource Use Constraints,2009_EML,1,1,0.12,12.50%
Rights,2009_EML,1,1,0.12,12.50%
Security Constraints,2009_EML,1,1,0.12,12.50%
Southernmost Latitude,2009_EML,9,1,1.12,12.50%
Spatial Extent,2009_EML,9,1,1.12,12.50%
Start Time,2009_EML,1,1,0.12,12.50%
Supplemental Information,2009_EML,1,1,0.12,12.50%
Temporal Extent,2009_EML,1,1,0.12,12.50%
Unknown,2009_EML,1339,8,167.38,100.00%
Vertical Maximum,2009_EML,2,1,0.25,12.50%
Vertical Minimum,2009_EML,2,1,0.25,12.50%
Vertical Resolution,2009_EML,1,1,0.12,12.50%
Westernmost Longitude,2009_EML,9,1,1.12,12.50%
