Collection,Record,Unknown
2008,109.1.xml,218
2008,109.24022.xml,93
2008,109.25876.xml,98
2008,109.38654.xml,106
2008,109.39042.xml,109
2008,146.21782.xml,196
2008,146.23235.xml,192
2008,200.67067.xml,190
2008,200.69599.xml,192
2008,200.71194.xml,199
2008,27.46605.xml,205
2008,27.49160.xml,207
2008,27.50402.xml,203
2008,289.1.xml,233
2008,289.65273.xml,195
2008,289.65734.xml,195
2008,289.65738.xml,195
2008,289.65909.xml,195
2008,47.1.xml,226
2008,47.55182.xml,225
2008,47.56887.xml,221
2008,48.74033.xml,208
2008,48.75280.xml,208
2008,96.36018.xml,153
2008,96.36163.xml,163
2008,96.36663.xml,165
2008,96.37521.xml,151
