XPath,SEV_2005_EML,SEV_2006_EML,SEV_2007_EML,SEV_2008_EML,SEV_2009_EML,SEV_2011_EML,SEV_2012_EML,SEV_2013_EML,SEV_2014_EML,SEV_2015_EML,SEV_2016_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.13043478260869565,0.2258064516129032,0.11627906976744184,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.8695652173913043,0.7741935483870968,0.8837209302325582,0.8888888888888888,0.875,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.8695652173913043,0.7741935483870968,0.8837209302325582,0.8888888888888888,0.875,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.8695652173913043,0.7741935483870968,0.8837209302325582,0.8888888888888888,0.875,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/access/allow/permission,0.8695652173913043,0.7741935483870968,0.8837209302325582,0.8888888888888888,0.875,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/principal,0.8695652173913043,0.7741935483870968,0.8837209302325582,0.8888888888888888,0.875,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/additionalInfo,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.43478260869565216,0.2258064516129032,0.6976744186046512,0.2962962962962963,0.75,0.6334231805929921,0.33663366336633666,0.5,0.6666666666666666,0.604982206405694,0.6730769230769231
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.43478260869565216,0.2258064516129032,0.627906976744186,0.2962962962962963,0.625,0.5283018867924528,0.27722772277227725,0.3888888888888889,0.6666666666666666,0.4768683274021353,0.5961538461538461
