Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,SEV_2006_EML,12.0,12.0,1.0,1.0
Resource Identifier,SEV_2006_EML,7.0,7.0,0.58,0.5833333333333334
Resource Title,SEV_2006_EML,7.0,7.0,0.58,0.5833333333333334
Author / Originator,SEV_2006_EML,7.0,7.0,0.58,0.5833333333333334
Metadata Contact,SEV_2006_EML,6.0,6.0,0.5,0.5
Contributor Name,SEV_2006_EML,3.0,1.0,0.25,0.08333333333333333
Publisher,SEV_2006_EML,1.0,1.0,0.08,0.08333333333333333
Publication Date,SEV_2006_EML,4.0,4.0,0.33,0.3333333333333333
Resource Contact,SEV_2006_EML,7.0,7.0,0.58,0.5833333333333334
Abstract,SEV_2006_EML,7.0,7.0,0.58,0.5833333333333334
Keyword,SEV_2006_EML,53.0,7.0,4.42,0.5833333333333334
Resource Distribution,SEV_2006_EML,6.0,6.0,0.5,0.5
Spatial Extent,SEV_2006_EML,7.0,7.0,0.58,0.5833333333333334
Taxonomic Extent,SEV_2006_EML,1.0,1.0,0.08,0.08333333333333333
Temporal Extent,SEV_2006_EML,7.0,7.0,0.58,0.5833333333333334
Maintenance,SEV_2006_EML,2.0,2.0,0.17,0.16666666666666666
Resource Use Constraints,SEV_2006_EML,7.0,7.0,0.58,0.5833333333333334
Process Step,SEV_2006_EML,7.0,7.0,0.58,0.5833333333333334
Project Description,SEV_2006_EML,7.0,7.0,0.58,0.5833333333333334
Entity Type Definition,SEV_2006_EML,1.0,1.0,0.08,0.08333333333333333
Attribute Definition,SEV_2006_EML,21.0,2.0,1.75,0.16666666666666666
Resource Access Constraints,SEV_2006_EML,0.0,0.0,0.0,0.0
Resource Format,SEV_2006_EML,1.0,1.0,0.08,0.08333333333333333
Attribute List,SEV_2006_EML,2.0,2.0,0.17,0.16666666666666666
Attribute Constraints,SEV_2006_EML,0.0,0.0,0.0,0.0
Resource Quality Description,SEV_2006_EML,6.0,6.0,0.5,0.5
