Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,Library_ISO,16,16,1.00,100.00%
Abstract,Library_ISO,16,16,1.00,100.00%
Additional Attributes - Descriptive Keywords,Library_ISO,85,15,5.31,93.75%
Address,Library_ISO,1,1,0.06,6.25%
Alternate Resource Title,Library_ISO,7,7,0.44,43.75%
Ancillary Keyword,Library_ISO,85,15,5.31,93.75%
Author,Library_ISO,19,16,1.19,100.00%
Author / Originator,Library_ISO,19,16,1.19,100.00%
Bounding Box,Library_ISO,7,7,0.44,43.75%
Cited Resource Alternate Title,Library_ISO,7,7,0.44,43.75%
Cited Resource Identifier,Library_ISO,16,16,1.00,100.00%
Cited Resource Title,Library_ISO,47,16,2.94,100.00%
City,Library_ISO,15,14,0.94,87.50%
Contributor Role,Library_ISO,17,16,1.06,100.00%
Country,Library_ISO,10,10,0.62,62.50%
Data Dates,Library_ISO,3,3,0.19,18.75%
Easternmost Longitude,Library_ISO,7,7,0.44,43.75%
Email,Library_ISO,33,16,2.06,100.00%
First Name,Library_ISO,69,16,4.31,100.00%
Geographic Description,Library_ISO,10,10,0.62,62.50%
ISSN,Library_ISO,4,4,0.25,25.00%
Keyword,Library_ISO,101,16,6.31,100.00%
Keyword Type,Library_ISO,16,16,1.00,100.00%
Keyword Vocabulary,Library_ISO,31,16,1.94,100.00%
Keyword Vocabulary Citation,Library_ISO,31,16,1.94,100.00%
Last Name,Library_ISO,69,16,4.31,100.00%
Metadata Access Constraints,Library_ISO,2,2,0.12,12.50%
Metadata Contact,Library_ISO,16,16,1.00,100.00%
Metadata Dates,Library_ISO,15,15,0.94,93.75%
Metadata Identifier,Library_ISO,16,16,1.00,100.00%
Metadata Language,Library_ISO,32,16,2.00,100.00%
Metadata Modified Date,Library_ISO,15,15,0.94,93.75%
Metadata Standard Citation,Library_ISO,16,16,1.00,100.00%
Metadata Standard Version,Library_ISO,16,16,1.00,100.00%
Middle Name,Library_ISO,69,16,4.31,100.00%
Northernmost Latitude,Library_ISO,7,7,0.44,43.75%
Online Resource,Library_ISO,1,1,0.06,6.25%
Organization Name,Library_ISO,85,16,5.31,100.00%
Originating Organization,Library_ISO,16,16,1.00,100.00%
Party,Library_ISO,187,16,11.69,100.00%
Position Name,Library_ISO,64,16,4.00,100.00%
Postal_Code,Library_ISO,1,1,0.06,6.25%
Province or State,Library_ISO,10,10,0.62,62.50%
Publication Date,Library_ISO,32,16,2.00,100.00%
Publication Information,Library_ISO,16,16,1.00,100.00%
Publisher,Library_ISO,16,16,1.00,100.00%
Resource Access Constraints,Library_ISO,16,16,1.00,100.00%
Resource Contact,Library_ISO,16,16,1.00,100.00%
Resource Creation Date,Library_ISO,3,3,0.19,18.75%
Resource Creation/Revision Date,Library_ISO,18,16,1.12,100.00%
Resource Identifier,Library_ISO,16,16,1.00,100.00%
Resource Language,Library_ISO,31,16,1.94,100.00%
Resource Long Name,Library_ISO,16,16,1.00,100.00%
Resource Revision Date,Library_ISO,15,15,0.94,93.75%
Resource Title,Library_ISO,16,16,1.00,100.00%
Resource Type,Library_ISO,16,16,1.00,100.00%
Resource Use Constraints,Library_ISO,16,16,1.00,100.00%
Responsibility,Library_ISO,180,16,11.25,100.00%
Rights,Library_ISO,16,16,1.00,100.00%
Role,Library_ISO,81,16,5.06,100.00%
Southernmost Latitude,Library_ISO,7,7,0.44,43.75%
Spatial Extent,Library_ISO,11,10,0.69,62.50%
Standard Name Vocabulary,Library_ISO,31,16,1.94,100.00%
Temporal Extent,Library_ISO,5,5,0.31,31.25%
Theme Keyword,Library_ISO,16,16,1.00,100.00%
Topic Category,Library_ISO,16,16,1.00,100.00%
Unknown,Library_ISO,1264,16,79.00,100.00%
Web Page,Library_ISO,1,1,0.06,6.25%
Westernmost Longitude,Library_ISO,7,7,0.44,43.75%
