Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator World Wide Web Address,Contributor Name,Contributor Role,Distribution Format,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Vocabulary,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Organization Name,Originating Organization,Process Step,Project Name,Publication Date,Publisher,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Unknown
2016,100.2.xml,1.0,9.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,268.0
2016,101.2.xml,1.0,10.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,274.0
2016,102.2.xml,1.0,25.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,315.0
2016,103.2.xml,1.0,21.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,327.0
2016,114.1.xml,1.0,12.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,195.0
2016,120.1.xml,1.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,119.0
2016,123.1.xml,1.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,122.0
2016,126.2.xml,1.0,14.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,195.0
2016,127.2.xml,1.0,12.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,170.0
2016,129.2.xml,1.0,12.0,1.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,173.0
2016,130.2.xml,1.0,36.0,1.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,227.0
2016,138.2.xml,1.0,25.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,258.0
2016,139.2.xml,1.0,22.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,248.0
2016,151.2.xml,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0
