XPath,28.3.xml
/eml:eml/@packageId,1
/eml:eml/@scope,1
/eml:eml/@system,1
/eml:eml/@xsi:schemaLocation,1
/eml:eml/dataset/@scope,1
/eml:eml/dataset/access/@authSystem,1
/eml:eml/dataset/access/@order,1
/eml:eml/dataset/access/@scope,1
/eml:eml/dataset/access/allow/permission,2
/eml:eml/dataset/access/allow/principal,2
/eml:eml/dataset/contact/@scope,1
/eml:eml/dataset/contact/address/@scope,1
/eml:eml/dataset/contact/address/administrativeArea,1
/eml:eml/dataset/contact/address/city,1
/eml:eml/dataset/contact/address/country,1
/eml:eml/dataset/contact/address/deliveryPoint,4
/eml:eml/dataset/contact/address/postalCode,1
/eml:eml/dataset/contact/organizationName,1
/eml:eml/dataset/contact/positionName,1
/eml:eml/dataset/creator/@scope,1
/eml:eml/dataset/creator/organizationName,1
/eml:eml/dataset/creator/positionName,1
/eml:eml/dataset/dataTable/@scope,1
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,1
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,9
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,8
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/standardUnit,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/@enforced,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/code,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/definition,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/pattern,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,2
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,5
/eml:eml/dataset/dataTable/attributeList/attribute/method/methodStep/description/section/para,32
/eml:eml/dataset/dataTable/attributeList/attribute/method/methodStep/description/section/title,3
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,3
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,2
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,4
/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,1
/eml:eml/dataset/dataTable/entityName,1
/eml:eml/dataset/distribution/@scope,1
/eml:eml/dataset/distribution/online/url,1
/eml:eml/dataset/distribution/online/url/@function,1
/eml:eml/dataset/keywordSet/keyword,4
/eml:eml/dataset/methods/methodStep/description/para,1
/eml:eml/dataset/project/@scope,1
/eml:eml/dataset/project/abstract/para,1
/eml:eml/dataset/project/funding/para,1
/eml:eml/dataset/project/personnel/@scope,1
/eml:eml/dataset/project/personnel/positionName,1
/eml:eml/dataset/project/personnel/role,1
/eml:eml/dataset/project/relatedProject/@scope,1
/eml:eml/dataset/project/relatedProject/abstract/para,1
/eml:eml/dataset/project/relatedProject/funding/para,1
/eml:eml/dataset/project/relatedProject/personnel/@scope,1
/eml:eml/dataset/project/relatedProject/personnel/positionName,1
/eml:eml/dataset/project/relatedProject/personnel/role,1
/eml:eml/dataset/project/relatedProject/title,1
/eml:eml/dataset/project/title,1
/eml:eml/dataset/shortName,1
/eml:eml/dataset/title,1
