Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2015_EML,57,57,1.00,100.00%
Abstract,2015_EML,23,23,0.40,40.35%
Attribute Definition,2015_EML,760,57,13.33,100.00%
Attribute List,2015_EML,57,57,1.00,100.00%
Author,2015_EML,114,57,2.00,100.00%
Author / Originator,2015_EML,114,57,2.00,100.00%
Author / Originator Email Address,2015_EML,57,57,1.00,100.00%
Author / Originator World Wide Web Address,2015_EML,57,57,1.00,100.00%
Distribution Format,2015_EML,57,57,1.00,100.00%
Entity Type Definition,2015_EML,57,57,1.00,100.00%
Entity and Attribute Information,2015_EML,57,57,1.00,100.00%
Keyword,2015_EML,361,57,6.33,100.00%
Keyword Vocabulary,2015_EML,57,57,1.00,100.00%
Metadata Access Constraints,2015_EML,57,57,1.00,100.00%
Metadata Use Constraints,2015_EML,57,57,1.00,100.00%
Organization Name,2015_EML,171,57,3.00,100.00%
Originating Organization,2015_EML,57,57,1.00,100.00%
Process Step,2015_EML,37,37,0.65,64.91%
Project Name,2015_EML,57,57,1.00,100.00%
Publication Date,2015_EML,57,57,1.00,100.00%
Publisher,2015_EML,57,57,1.00,100.00%
Publisher E-Mail,2015_EML,57,57,1.00,100.00%
Publisher URL,2015_EML,57,57,1.00,100.00%
Resource Access Constraints,2015_EML,57,57,1.00,100.00%
Resource Contact,2015_EML,114,57,2.00,100.00%
Resource Creation/Revision Date,2015_EML,57,57,1.00,100.00%
Resource Distribution,2015_EML,57,57,1.00,100.00%
Resource Format,2015_EML,57,57,1.00,100.00%
Resource Identifier,2015_EML,57,57,1.00,100.00%
Resource Identifier Type,2015_EML,57,57,1.00,100.00%
Resource Lineage,2015_EML,37,37,0.65,64.91%
Resource Long Name,2015_EML,57,57,1.00,100.00%
Resource Status,2015_EML,57,57,1.00,100.00%
Resource Title,2015_EML,57,57,1.00,100.00%
Resource Use Constraints,2015_EML,57,57,1.00,100.00%
Resource on-line Link,2015_EML,57,57,1.00,100.00%
Rights,2015_EML,57,57,1.00,100.00%
Security Constraints,2015_EML,57,57,1.00,100.00%
Unknown,2015_EML,10270,57,180.18,100.00%
