Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,PAL_2011_EML,33.0,33.0,1.0,1.0
Resource Identifier,PAL_2011_EML,33.0,33.0,1.0,1.0
Resource Title,PAL_2011_EML,33.0,33.0,1.0,1.0
Author / Originator,PAL_2011_EML,33.0,33.0,1.0,1.0
Metadata Contact,PAL_2011_EML,0.0,0.0,0.0,0.0
Contributor Name,PAL_2011_EML,0.0,0.0,0.0,0.0
Publisher,PAL_2011_EML,33.0,33.0,1.0,1.0
Publication Date,PAL_2011_EML,0.0,0.0,0.0,0.0
Resource Contact,PAL_2011_EML,33.0,33.0,1.0,1.0
Abstract,PAL_2011_EML,0.0,0.0,0.0,0.0
Keyword,PAL_2011_EML,518.0,33.0,15.7,1.0
Resource Distribution,PAL_2011_EML,33.0,33.0,1.0,1.0
Spatial Extent,PAL_2011_EML,0.0,0.0,0.0,0.0
Taxonomic Extent,PAL_2011_EML,0.0,0.0,0.0,0.0
Temporal Extent,PAL_2011_EML,0.0,0.0,0.0,0.0
Maintenance,PAL_2011_EML,0.0,0.0,0.0,0.0
Resource Use Constraints,PAL_2011_EML,33.0,33.0,1.0,1.0
Process Step,PAL_2011_EML,33.0,33.0,1.0,1.0
Project Description,PAL_2011_EML,33.0,33.0,1.0,1.0
Entity Type Definition,PAL_2011_EML,0.0,0.0,0.0,0.0
Attribute Definition,PAL_2011_EML,391.0,33.0,11.85,1.0
Resource Access Constraints,PAL_2011_EML,33.0,33.0,1.0,1.0
Resource Format,PAL_2011_EML,0.0,0.0,0.0,0.0
Attribute List,PAL_2011_EML,33.0,33.0,1.0,1.0
Attribute Constraints,PAL_2011_EML,0.0,0.0,0.0,0.0
Resource Quality Description,PAL_2011_EML,0.0,0.0,0.0,0.0
