XPath,HFR_2006_EML,HFR_2007_EML,HFR_2008_EML,HFR_2009_EML,HFR_2010_EML,HFR_2011_EML,HFR_2012_EML,HFR_2013_EML,HFR_2014_EML,HFR_2015_EML,HFR_2016_EML,HFR_2017_EML,HFR_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.9013282732447818,0.8965517241379308,0.9666666666666668,0.940928270042194,0.9655172413793104,0.9518072289156626,0.8717948717948718,0.7777777777777778,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.7419354838709677,0.7586206896551724,0.5666666666666667,0.8481012658227848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.7419354838709677,0.7586206896551724,0.5666666666666667,0.8481012658227848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.7419354838709677,0.7586206896551724,0.5666666666666667,0.8481012658227848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.7419354838709677,0.7586206896551724,0.5666666666666667,0.8481012658227848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/principal,0.7419354838709677,0.7586206896551724,0.5666666666666667,0.8481012658227848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/additionalClassifications/lterCoreArea,0.14990512333965844,0.13793103448275862,0.2333333333333333,0.13924050632911392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/additionalClassifications/researchCategory,0.07400379506641366,0.06896551724137931,0.13333333333333333,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/additionalClassifications/researchTopic,0.07590132827324478,0.06896551724137931,0.1,0.12658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/additionalClassifications/studyType,0.14990512333965844,0.13793103448275862,0.2333333333333333,0.13924050632911392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/additionalLinks/url,0.0872865275142315,0.10344827586206896,0.2,0.12236286919831225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/additionalLinks/url/@name,0.0872865275142315,0.10344827586206896,0.2,0.12236286919831225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/lterCoreArea,0.1650853889943074,0.1724137931034483,0.13333333333333333,0.14767932489451474,0.10344827586206896,0.0963855421686747,0.15384615384615385,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/researchCategory,0.00189753320683112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/researchTopic,0.7343453510436433,0.7586206896551724,0.5666666666666667,0.8481012658227848,1.0,1.0,1.0,1.0,1.0,0.9968798751950078,0.9925373134328358,1.0,0.9967741935483873
/eml:eml/additionalMetadata/metadata/additionalClassifications/status,0.7419354838709677,0.7586206896551724,0.5666666666666667,0.8481012658227848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/studyType,0.7419354838709677,0.7586206896551724,0.5666666666666667,0.8481012658227848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/timeSeries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499219968798752,0.16417910447761194,0.23214285714285715,0.1032258064516129
/eml:eml/additionalMetadata/metadata/additionalLinks/additionalLinks/url,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015600624024961,0.0,0.0,0.0032258064516129032
