Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,HFR_2006_EML,527.0,527.0,1.0,1.0
Resource Identifier,HFR_2006_EML,527.0,527.0,1.0,1.0
Resource Title,HFR_2006_EML,527.0,527.0,1.0,1.0
Author / Originator,HFR_2006_EML,1053.0,527.0,2.0,1.0
Metadata Contact,HFR_2006_EML,0.0,0.0,0.0,0.0
Contributor Name,HFR_2006_EML,829.0,325.0,1.57,0.6166982922201139
Publisher,HFR_2006_EML,527.0,527.0,1.0,1.0
Publication Date,HFR_2006_EML,504.0,504.0,0.96,0.9563567362428842
Resource Contact,HFR_2006_EML,527.0,527.0,1.0,1.0
Abstract,HFR_2006_EML,527.0,527.0,1.0,1.0
Keyword,HFR_2006_EML,4381.0,527.0,8.31,1.0
Resource Distribution,HFR_2006_EML,527.0,527.0,1.0,1.0
Spatial Extent,HFR_2006_EML,509.0,509.0,0.97,0.9658444022770398
Taxonomic Extent,HFR_2006_EML,275.0,275.0,0.52,0.5218216318785579
Temporal Extent,HFR_2006_EML,503.0,503.0,0.95,0.9544592030360532
Maintenance,HFR_2006_EML,218.0,218.0,0.41,0.413662239089184
Resource Use Constraints,HFR_2006_EML,504.0,504.0,0.96,0.9563567362428842
Process Step,HFR_2006_EML,430.0,430.0,0.82,0.8159392789373814
Project Description,HFR_2006_EML,0.0,0.0,0.0,0.0
Entity Type Definition,HFR_2006_EML,1587.0,429.0,3.01,0.8140417457305503
Attribute Definition,HFR_2006_EML,25390.0,429.0,48.18,0.8140417457305503
Resource Access Constraints,HFR_2006_EML,391.0,391.0,0.74,0.7419354838709677
Resource Format,HFR_2006_EML,1587.0,429.0,3.01,0.8140417457305503
Attribute List,HFR_2006_EML,1587.0,429.0,3.01,0.8140417457305503
Attribute Constraints,HFR_2006_EML,0.0,0.0,0.0,0.0
Resource Quality Description,HFR_2006_EML,0.0,0.0,0.0,0.0
