XPath,HFR_2006_EML,HFR_2007_EML,HFR_2008_EML,HFR_2009_EML,HFR_2010_EML,HFR_2011_EML,HFR_2012_EML,HFR_2013_EML,HFR_2014_EML,HFR_2015_EML,HFR_2016_EML,HFR_2017_EML,HFR_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.9,0.9,0.97,0.94,0.97,0.95,0.87,0.78,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.74,0.76,0.57,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.74,0.76,0.57,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.74,0.76,0.57,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,1.48,1.52,1.13,1.7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,1.48,1.52,1.13,1.7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/additionalClassifications/lterCoreArea,0.18,0.14,0.33,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/additionalClassifications/researchCategory,0.07,0.07,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/additionalClassifications/researchTopic,0.12,0.1,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/additionalClassifications/studyType,0.15,0.14,0.23,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/additionalLinks/url,0.17,0.14,0.47,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/additionalLinks/url/@name,0.17,0.14,0.47,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/lterCoreArea,0.21,0.21,0.2,0.19,0.1,0.11,0.36,0.26,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/researchCategory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/researchTopic,1.35,0.93,0.57,1.57,2.1,1.72,2.21,1.89,1.4,1.84,1.83,2.0,1.92
/eml:eml/additionalMetadata/metadata/additionalClassifications/status,0.74,0.76,0.57,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.02,1.0
/eml:eml/additionalMetadata/metadata/additionalClassifications/studyType,0.79,0.76,0.57,0.85,1.0,1.12,1.49,1.0,1.0,1.1,1.1,1.07,1.12
/eml:eml/additionalMetadata/metadata/additionalClassifications/timeSeries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.23,0.1
/eml:eml/additionalMetadata/metadata/additionalLinks/additionalLinks/url,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01
/eml:eml/additionalMetadata/metadata/additionalLinks/additionalLinks/url/@name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01
/eml:eml/additionalMetadata/metadata/additionalLinks/url,0.99,1.38,1.43,2.85,4.28,1.65,3.36,1.67,1.0,2.17,2.35,1.46,2.12
/eml:eml/additionalMetadata/metadata/additionalLinks/url/@name,0.99,1.38,1.43,2.85,4.28,1.65,3.36,1.67,1.0,2.17,2.35,1.46,2.12
/eml:eml/additionalMetadata/metadata/offsiteData/description,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/offsiteData/url,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/offsiteData/url/@name,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.27,0.1,0.1,0.36,0.41,0.37,0.44,0.52,0.4,0.38,0.34,0.34,0.27
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.7,0.31,0.3,0.78,0.41,0.57,0.59,1.26,0.4,0.86,0.76,1.02,0.57
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.7,0.31,0.3,0.78,0.41,0.57,0.59,1.26,0.4,0.86,0.76,1.02,0.57
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,0.7,0.31,0.3,0.78,0.41,0.57,0.59,1.26,0.4,0.86,0.76,1.02,0.57
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.7,0.31,0.3,0.78,0.41,0.57,0.59,1.26,0.4,0.86,0.76,1.02,0.57
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.7,0.31,0.3,0.78,0.41,0.57,0.59,1.26,0.4,0.86,0.76,1.02,0.57
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.7,0.31,0.3,0.78,0.41,0.57,0.59,1.26,0.4,0.86,0.76,1.02,0.57
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@constantToSI,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@id,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@multiplierToSI,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@name,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@parentSI,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@unitType,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
