XPath,CWT_2005_EML,CWT_2007_EML,CWT_2011_EML,CWT_2015_EML,CWT_2016_EML,CWT_2017_EML,CWT_2018_EML
/eml:eml/dataset/contact/electronicMailAddress,0.006666666666666667,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/onlineUrl,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/organizationName,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/phone,0.9933333333333332,1.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/phone/@phonetype,0.9933333333333332,1.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/@scope,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.006666666666666667,0.0,1.0,0.8296703296703297,0.5588235294117647,0.2307692307692308,0.2727272727272727
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.006666666666666667,0.0,1.0,0.8296703296703297,0.5588235294117647,0.2307692307692308,0.2727272727272727
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.006666666666666667,0.0,1.0,0.8296703296703297,0.5588235294117647,0.2307692307692308,0.2727272727272727
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.006666666666666667,0.0,1.0,0.8296703296703297,0.5588235294117647,0.2307692307692308,0.2727272727272727
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,1.0,1.0,0.8296703296703297,0.5588235294117647,0.2307692307692308,0.2727272727272727
/eml:eml/dataset/coverage/temporalCoverage/@scope,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/@id,0.006666666666666667,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/@scope,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/@scope,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/city,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/country,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/postalCode,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/electronicMailAddress,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/givenName,1.0,1.0,1.0,0.9945054945054944,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/salutation,0.006666666666666667,0.0,1.0,0.4835164835164835,0.4705882352941176,0.6923076923076923,0.8181818181818182
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0,0.9945054945054944,1.0,1.0,1.0
/eml:eml/dataset/creator/onlineUrl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/organizationName,0.006666666666666667,0.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/phone,0.9933333333333332,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/phone/@phonetype,0.9933333333333332,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/@scope,0.3933333333333333,0.07142857142857142,0.5,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/additionalInfo/para,0.0,0.0,0.0,0.054945054945054944,0.05882352941176471,0.0,0.09090909090909093
