XPath,112.5.xml,113.1.xml,116.1.xml
/eml:eml/@packageId,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,1.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.0,2.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.0,2.0,0.0
/eml:eml/dataset/@id,1.0,0.0,0.0
/eml:eml/dataset/abstract,1.0,0.0,1.0
/eml:eml/dataset/abstract/section/para,2.0,0.0,2.0
/eml:eml/dataset/abstract/section/title,1.0,0.0,2.0
/eml:eml/dataset/associatedParty,4.0,4.0,0.0
/eml:eml/dataset/associatedParty/address/administrativeArea,2.0,2.0,0.0
/eml:eml/dataset/associatedParty/address/city,2.0,2.0,0.0
/eml:eml/dataset/associatedParty/address/country,1.0,1.0,0.0
/eml:eml/dataset/associatedParty/address/deliveryPoint,1.0,1.0,0.0
/eml:eml/dataset/associatedParty/address/postalCode,2.0,2.0,0.0
/eml:eml/dataset/associatedParty/electronicMailAddress,4.0,4.0,0.0
/eml:eml/dataset/associatedParty/individualName/givenName,4.0,4.0,0.0
/eml:eml/dataset/associatedParty/individualName/surName,4.0,4.0,0.0
/eml:eml/dataset/associatedParty/organizationName,2.0,2.0,0.0
/eml:eml/dataset/associatedParty/phone,6.0,6.0,0.0
/eml:eml/dataset/associatedParty/phone/@phonetype,2.0,2.0,0.0
/eml:eml/dataset/associatedParty/role,3.0,2.0,0.0
/eml:eml/dataset/contact,1.0,1.0,1.0
/eml:eml/dataset/contact/address/administrativeArea,1.0,1.0,1.0
