Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Metadata Access Constraints,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Name,Publication Date,Publisher,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Format,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Temporal Extent,Unknown,Westernmost Longitude
2010,106.15.xml,1.0,50.0,8.0,3.0,3.0,0.0,3.0,1.0,9.0,3.0,1.0,1.0,1.0,8.0,8.0,22.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,243.0,1.0
2010,3.12.xml,1.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,98.0,0.0
2010,3.13.xml,1.0,54.0,9.0,1.0,1.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,9.0,9.0,24.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,202.0,0.0
2010,3.14.xml,1.0,54.0,9.0,1.0,1.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,9.0,9.0,24.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,202.0,0.0
2010,3.15.xml,1.0,54.0,9.0,1.0,1.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,9.0,9.0,24.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,202.0,0.0
2010,3.16.xml,1.0,54.0,9.0,2.0,2.0,0.0,2.0,0.0,9.0,3.0,1.0,0.0,0.0,9.0,9.0,24.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,215.0,0.0
2010,3.17.xml,1.0,54.0,9.0,2.0,2.0,0.0,2.0,0.0,9.0,3.0,1.0,0.0,0.0,9.0,9.0,24.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,216.0,0.0
2010,3.18.xml,1.0,54.0,9.0,2.0,2.0,0.0,2.0,0.0,9.0,3.0,1.0,0.0,0.0,9.0,9.0,24.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,216.0,0.0
2010,3.19.xml,1.0,54.0,9.0,2.0,2.0,0.0,2.0,0.0,9.0,3.0,1.0,0.0,0.0,9.0,9.0,24.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,216.0,0.0
2010,3.20.xml,1.0,54.0,9.0,2.0,2.0,0.0,2.0,0.0,9.0,3.0,1.0,0.0,0.0,9.0,9.0,24.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,216.0,0.0
2010,3.21.xml,1.0,54.0,9.0,2.0,2.0,0.0,2.0,0.0,9.0,3.0,1.0,0.0,0.0,9.0,9.0,24.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,217.0,0.0
2010,3.22.xml,1.0,54.0,9.0,2.0,2.0,0.0,2.0,1.0,9.0,3.0,1.0,1.0,0.0,9.0,9.0,24.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,218.0,1.0
2010,3.23.xml,1.0,54.0,9.0,2.0,2.0,0.0,2.0,1.0,10.0,4.0,1.0,1.0,1.0,9.0,9.0,49.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,234.0,1.0
2010,37.11.xml,1.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,15.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0
2010,37.12.xml,1.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,15.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0
2010,37.13.xml,1.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,15.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0
2010,37.14.xml,1.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,15.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0
2010,37.15.xml,1.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,15.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0
2010,37.16.xml,1.0,20.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,15.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,0.0
