Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Metadata Access Constraints,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Name,Publication Date,Publisher,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Format,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Temporal Extent,Unknown,Westernmost Longitude
2016,28.23.xml,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95.0,1.0
2016,29.23.xml,1.0,19.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,132.0,1.0
2016,30.23.xml,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0
2016,31.23.xml,1.0,14.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.0,1.0
2016,32.23.xml,1.0,20.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,16.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,145.0,1.0
2016,33.23.xml,1.0,36.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,24.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,187.0,1.0
2016,34.23.xml,1.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,101.0,1.0
2016,37.23.xml,1.0,20.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,22.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,1.0
2016,38.23.xml,1.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.0,1.0
2016,39.23.xml,1.0,44.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,13.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.0,1.0
2016,4.23.xml,1.0,37.0,9.0,1.0,1.0,1.0,1.0,9.0,4.0,6.0,1.0,1.0,8.0,8.0,24.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,227.0,1.0
2016,40.23.xml,1.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.0,1.0
2016,41.23.xml,1.0,18.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,22.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.0,1.0
2016,42.23.xml,1.0,77.0,21.0,1.0,1.0,1.0,1.0,2.0,2.0,10.0,1.0,1.0,19.0,19.0,61.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,329.0,1.0
2016,42.24.xml,1.0,77.0,21.0,1.0,1.0,1.0,1.0,2.0,2.0,10.0,1.0,1.0,19.0,19.0,60.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,330.0,1.0
2016,43.23.xml,1.0,14.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95.0,1.0
2016,44.23.xml,1.0,17.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,153.0,1.0
2016,45.24.xml,1.0,35.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,6.0,6.0,18.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,171.0,1.0
2016,45.27.xml,1.0,35.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,6.0,6.0,16.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,172.0,1.0
2016,46.23.xml,1.0,43.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,6.0,6.0,17.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,163.0,1.0
2016,47.23.xml,1.0,33.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,20.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,136.0,1.0
2016,49.23.xml,1.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,106.0,1.0
2016,49.25.xml,1.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,107.0,1.0
2016,50.23.xml,1.0,14.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130.0,1.0
2016,52.23.xml,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.0,1.0
2016,55.16.xml,1.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.0,1.0
2016,6.23.xml,1.0,23.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,12.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,128.0,1.0
2016,70.16.xml,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,105.0,1.0
2016,71.16.xml,1.0,13.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0
2016,72.16.xml,1.0,17.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,33.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,116.0,1.0
2016,79.16.xml,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95.0,1.0
