XPath,KBS_2005_EML,KBS_2006_EML,KBS_2010_EML,KBS_2011_EML,KBS_2012_EML,KBS_2013_EML,KBS_2014_EML,KBS_2015_EML,KBS_2016_EML,KBS_2017_EML,KBS_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.7841328413284133,0.125,0.30538922155688625,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,0.8690036900369004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.5793357933579336,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.5793357933579336,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.5793357933579336,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,0.5793357933579336,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/principal,0.5793357933579336,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.16236162361623616,0.875,0.6167664670658682,0.07142857142857142,0.3333333333333333,0.21052631578947367,0.0,0.3673469387755102,0.4029850746268657,1.0,0.4583333333333333
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.16236162361623616,0.875,0.6167664670658682,0.07142857142857142,0.3333333333333333,0.21052631578947367,0.0,0.3673469387755102,0.4029850746268657,1.0,0.4583333333333333
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.16236162361623616,0.875,0.6167664670658682,0.07142857142857142,0.3333333333333333,0.21052631578947367,0.0,0.3673469387755102,0.4029850746268657,1.0,0.4583333333333333
/eml:eml/additionalMetadata/stmml:unitList/@convention,0.11439114391143912,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/@xsi:schemaLocation,0.11439114391143912,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@constantToSI,0.11439114391143912,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@id,0.11439114391143912,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@multiplierToSI,0.11439114391143912,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@name,0.11439114391143912,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@parentSI,0.11439114391143912,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@unitType,0.11439114391143912,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@id,0.07380073800738007,0.0625,0.1317365269461078,0.2857142857142857,0.3333333333333333,1.0,1.0,0.8979591836734694,1.0,1.0,1.0
/eml:eml/dataset/@scope,0.7841328413284133,0.125,0.30538922155688625,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/para,0.922509225092251,0.9375,0.8622754491017964,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/section/para,0.07749077490774907,0.0625,0.1377245508982036,0.2857142857142857,0.6666666666666666,1.0,0.5,1.0,1.0,0.5,1.0
/eml:eml/dataset/abstract/section/title,0.07749077490774907,0.0625,0.1377245508982036,0.2857142857142857,0.6666666666666666,1.0,0.5,1.0,1.0,0.5,1.0
/eml:eml/dataset/access/@authSystem,0.35424354243542433,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.35424354243542433,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.35424354243542433,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,0.35424354243542433,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,0.35424354243542433,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,0.2896678966789668,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
/eml:eml/dataset/associatedParty/@id,0.3505535055350554,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/@scope,0.7029520295202952,0.125,0.2455089820359281,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/@scope,0.7029520295202952,0.125,0.2455089820359281,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/administrativeArea,0.8782287822878229,1.0,0.934131736526946,0.9285714285714286,0.6666666666666666,0.8421052631578947,0.5,1.0,0.9253731343283582,1.0,0.8333333333333334
/eml:eml/dataset/associatedParty/address/city,0.8782287822878229,1.0,0.934131736526946,0.9285714285714286,0.6666666666666666,0.8421052631578947,0.5,1.0,0.9253731343283582,1.0,0.8333333333333334
/eml:eml/dataset/associatedParty/address/country,0.7398523985239852,1.0,0.6586826347305389,0.7142857142857143,0.6666666666666666,0.3157894736842105,0.5,0.6734693877551021,0.4776119402985074,1.0,0.5833333333333334
/eml:eml/dataset/associatedParty/address/deliveryPoint,0.7933579335793358,1.0,0.9101796407185628,0.8571428571428571,0.6666666666666666,0.8421052631578947,0.0,0.9591836734693876,0.8507462686567164,1.0,0.7916666666666666
/eml:eml/dataset/associatedParty/address/postalCode,0.8745387453874539,1.0,0.934131736526946,0.9285714285714286,0.6666666666666666,0.8421052631578947,0.5,1.0,0.8955223880597015,1.0,0.8333333333333334
/eml:eml/dataset/associatedParty/electronicMailAddress,0.8948339483394834,1.0,0.934131736526946,0.9285714285714286,0.6666666666666666,0.8947368421052632,0.5,1.0,0.9850746268656716,1.0,0.875
/eml:eml/dataset/associatedParty/individualName/givenName,0.918819188191882,1.0,0.934131736526946,0.9285714285714286,0.6666666666666666,0.8947368421052632,0.5,1.0,0.9850746268656716,1.0,0.875
/eml:eml/dataset/associatedParty/individualName/surName,0.918819188191882,1.0,0.934131736526946,0.9285714285714286,0.6666666666666666,0.8947368421052632,0.5,1.0,0.9850746268656716,1.0,0.875
/eml:eml/dataset/associatedParty/onlineUrl,0.25461254612546125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/organizationName,0.5258302583025829,0.8125,0.8982035928143712,0.9285714285714286,0.6666666666666666,0.8947368421052632,0.5,1.0,0.9850746268656716,1.0,0.875
/eml:eml/dataset/associatedParty/phone,0.8339483394833949,1.0,0.934131736526946,0.9285714285714286,0.6666666666666666,0.8421052631578947,0.0,0.979591836734694,0.8507462686567164,1.0,0.7916666666666666
/eml:eml/dataset/associatedParty/phone/@phonetype,0.8523985239852399,1.0,0.934131736526946,0.9285714285714286,0.6666666666666666,0.8947368421052632,0.5,1.0,0.9850746268656716,1.0,0.875
/eml:eml/dataset/associatedParty/role,0.918819188191882,1.0,0.934131736526946,0.9285714285714286,0.6666666666666666,0.8947368421052632,0.5,1.0,0.9850746268656716,1.0,0.875
/eml:eml/dataset/associatedParty/userId,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01492537313432836,1.0,0.5416666666666666
/eml:eml/dataset/associatedParty/userId/@directory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01492537313432836,1.0,0.5416666666666666
/eml:eml/dataset/contact/@scope,0.7841328413284133,0.125,0.30538922155688625,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,0.7177121771217713,0.125,0.30538922155688625,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,0.933579335793358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/city,0.933579335793358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/country,0.933579335793358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,0.933579335793358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/address/postalCode,0.933579335793358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,0.933579335793358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/onlineUrl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/organizationName,0.933579335793358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8979591836734694,1.0,0.0,0.0
/eml:eml/dataset/contact/phone/@phonetype,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8979591836734694,1.0,0.0,0.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/@scope,0.25092250922509224,0.0,0.08383233532934131,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,0.012915129151291513,0.0,0.017964071856287425,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.1014760147601476,0.125,0.20359281437125748,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.1014760147601476,0.125,0.20359281437125748,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.1014760147601476,0.125,0.20359281437125748,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0
