Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2015_EML,49,49,1.00,100.00%
Abstract,2015_EML,49,49,1.00,100.00%
Attribute Definition,2015_EML,997,49,20.35,100.00%
Attribute List,2015_EML,155,49,3.16,100.00%
Author,2015_EML,55,49,1.12,100.00%
Author / Originator,2015_EML,55,49,1.12,100.00%
Author / Originator World Wide Web Address,2015_EML,50,44,1.02,89.80%
Bounding Box,2015_EML,49,49,1.00,100.00%
Contributor Name,2015_EML,138,49,2.82,100.00%
Contributor Role,2015_EML,115,49,2.35,100.00%
Distribution Format,2015_EML,59,49,1.20,100.00%
Easternmost Longitude,2015_EML,49,49,1.00,100.00%
End Time,2015_EML,42,42,0.86,85.71%
Entity Type Definition,2015_EML,154,49,3.14,100.00%
Entity and Attribute Information,2015_EML,154,49,3.14,100.00%
Keyword,2015_EML,862,49,17.59,100.00%
Keyword Type,2015_EML,49,49,1.00,100.00%
Keyword Vocabulary,2015_EML,33,33,0.67,67.35%
Metadata Access Constraints,2015_EML,49,49,1.00,100.00%
Metadata Use Constraints,2015_EML,49,49,1.00,100.00%
Northernmost Latitude,2015_EML,49,49,1.00,100.00%
Organization Name,2015_EML,255,49,5.20,100.00%
Originating Organization,2015_EML,45,44,0.92,89.80%
Place Keyword,2015_EML,294,49,6.00,100.00%
Process Step,2015_EML,26,26,0.53,53.06%
Project Name,2015_EML,50,44,1.02,89.80%
Publication Date,2015_EML,49,49,1.00,100.00%
Publisher,2015_EML,49,49,1.00,100.00%
Resource Access Constraints,2015_EML,49,49,1.00,100.00%
Resource Contact,2015_EML,98,49,2.00,100.00%
Resource Creation/Revision Date,2015_EML,49,49,1.00,100.00%
Resource Format,2015_EML,59,49,1.20,100.00%
Resource Identifier,2015_EML,49,49,1.00,100.00%
Resource Identifier Type,2015_EML,49,49,1.00,100.00%
Resource Lineage,2015_EML,26,26,0.53,53.06%
Resource Long Name,2015_EML,49,49,1.00,100.00%
Resource Status,2015_EML,49,49,1.00,100.00%
Resource Title,2015_EML,49,49,1.00,100.00%
Resource Use Constraints,2015_EML,42,42,0.86,85.71%
Rights,2015_EML,42,42,0.86,85.71%
Security Constraints,2015_EML,49,49,1.00,100.00%
Southernmost Latitude,2015_EML,49,49,1.00,100.00%
Spatial Extent,2015_EML,49,49,1.00,100.00%
Start Time,2015_EML,42,42,0.86,85.71%
Temporal Extent,2015_EML,42,42,0.86,85.71%
Unknown,2015_EML,6487,49,132.39,100.00%
Westernmost Longitude,2015_EML,49,49,1.00,100.00%
