XPath,CCE_2007_EML,CCE_2010_EML,CCE_2015_EML,CCE_2016_EML,CCE_2017_EML,CCE_2018_EML
/eml:eml/dataset/contact/onlineUrl,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/organizationName,0.5,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/phone/@phonetype,0.0,0.0,1.0,1.0,0.0,0.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,0.0,0.0,0.0,0.0,0.9431818181818182,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,0.0,0.0,0.0,0.0,0.9431818181818182,1.0
/eml:eml/dataset/creator/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/@scope,0.0,0.0,0.925,0.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/city,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/country,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/postalCode,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/electronicMailAddress,0.0,0.0,0.8,0.8970588235294118,0.875,1.0
/eml:eml/dataset/creator/individualName/givenName,0.0,0.875,0.875,0.9117647058823528,0.8863636363636364,1.0
/eml:eml/dataset/creator/individualName/surName,0.5,1.0,0.875,0.9117647058823528,0.8863636363636364,1.0
/eml:eml/dataset/creator/onlineUrl,0.0,0.0,0.925,0.0,0.0,0.0
/eml:eml/dataset/creator/organizationName,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/phone,0.0,0.0,0.35,0.0,0.0,0.0
/eml:eml/dataset/creator/positionName,1.0,1.0,0.025,0.0,0.0,0.0
/eml:eml/dataset/dataTable/@id,0.0,0.0,0.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,0.5,0.375,0.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/@system,0.5,0.375,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,1.0,1.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,0.0,0.375,1.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,1.0,1.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.5,0.75,0.725,0.2352941176470588,0.18181818181818185,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,0.5,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,0.0,0.5,0.825,0.7205882352941176,0.7272727272727273,0.25
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,0.0,0.375,0.825,0.7205882352941176,0.7272727272727273,0.25
