Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Keyword,Metadata Access Constraints,Metadata Use Constraints,Organization Name,Originating Organization,Process Step,Project Description,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Distribution,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Unknown
2007,13.2.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
2007,13.5.xml,1.0,4.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0
