Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2012_EML,48,48,1.00,100.00%
Abstract,2012_EML,48,48,1.00,100.00%
Attribute Definition,2012_EML,1017,47,21.19,97.92%
Attribute List,2012_EML,47,47,0.98,97.92%
Author,2012_EML,48,48,1.00,100.00%
Author / Originator,2012_EML,48,48,1.00,100.00%
Author / Originator Email Address,2012_EML,9,9,0.19,18.75%
Author / Originator World Wide Web Address,2012_EML,48,48,1.00,100.00%
Bounding Box,2012_EML,48,48,1.00,100.00%
Distribution Format,2012_EML,47,47,0.98,97.92%
Easternmost Longitude,2012_EML,48,48,1.00,100.00%
End Time,2012_EML,48,48,1.00,100.00%
Keyword,2012_EML,334,48,6.96,100.00%
Keyword Type,2012_EML,48,48,1.00,100.00%
Metadata Access Constraints,2012_EML,48,48,1.00,100.00%
Metadata Contact,2012_EML,48,48,1.00,100.00%
Metadata Use Constraints,2012_EML,48,48,1.00,100.00%
Northernmost Latitude,2012_EML,48,48,1.00,100.00%
Organization Name,2012_EML,192,48,4.00,100.00%
Originating Organization,2012_EML,48,48,1.00,100.00%
Process Step,2012_EML,42,42,0.88,87.50%
Project Name,2012_EML,48,48,1.00,100.00%
Publication Date,2012_EML,48,48,1.00,100.00%
Publisher,2012_EML,48,48,1.00,100.00%
Publisher E-Mail,2012_EML,48,48,1.00,100.00%
Publisher URL,2012_EML,48,48,1.00,100.00%
Purpose,2012_EML,7,7,0.15,14.58%
Resource Access Constraints,2012_EML,48,48,1.00,100.00%
Resource Contact,2012_EML,48,48,1.00,100.00%
Resource Creation/Revision Date,2012_EML,48,48,1.00,100.00%
Resource Distribution,2012_EML,48,48,1.00,100.00%
Resource Format,2012_EML,47,47,0.98,97.92%
Resource Identifier,2012_EML,48,48,1.00,100.00%
Resource Identifier Type,2012_EML,48,48,1.00,100.00%
Resource Lineage,2012_EML,42,42,0.88,87.50%
Resource Long Name,2012_EML,48,48,1.00,100.00%
Resource Status,2012_EML,48,48,1.00,100.00%
Resource Title,2012_EML,48,48,1.00,100.00%
Resource Use Constraints,2012_EML,48,48,1.00,100.00%
Resource on-line Link,2012_EML,48,48,1.00,100.00%
Rights,2012_EML,48,48,1.00,100.00%
Security Constraints,2012_EML,48,48,1.00,100.00%
Southernmost Latitude,2012_EML,48,48,1.00,100.00%
Spatial Extent,2012_EML,48,48,1.00,100.00%
Start Time,2012_EML,48,48,1.00,100.00%
Temporal Extent,2012_EML,48,48,1.00,100.00%
Unknown,2012_EML,30878,48,643.29,100.00%
Westernmost Longitude,2012_EML,48,48,1.00,100.00%
