Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Quality Description,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2007,1.6.xml,1.0,0.0,25.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,24.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,218.0,0.0,0.0,0.0,1.0
2007,1.7.xml,1.0,0.0,25.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,28.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,218.0,0.0,0.0,0.0,1.0
2007,1.8.xml,1.0,0.0,25.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,28.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,218.0,0.0,0.0,0.0,1.0
2007,1.9.xml,1.0,0.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,28.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182.0,0.0,0.0,0.0,1.0
2007,10.1.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,0.0,0.0,0.0,0.0
2007,10.10.xml,1.0,0.0,49.0,2.0,4.0,4.0,4.0,4.0,3.0,10.0,1.0,1.0,2.0,10.0,1.0,2.0,2.0,0.0,36.0,2.0,4.0,1.0,1.0,3.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,486.0,0.0,0.0,0.0,10.0
2007,10.11.xml,1.0,0.0,56.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,0.0,35.0,2.0,4.0,1.0,1.0,4.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,509.0,0.0,0.0,0.0,10.0
2007,10.13.xml,1.0,0.0,56.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,0.0,35.0,2.0,4.0,1.0,1.0,4.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,508.0,0.0,0.0,0.0,10.0
2007,10.15.xml,1.0,0.0,56.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,0.0,40.0,2.0,9.0,1.0,1.0,4.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,508.0,0.0,0.0,0.0,10.0
2007,10.17.xml,1.0,0.0,56.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,0.0,40.0,2.0,8.0,1.0,1.0,4.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,508.0,0.0,0.0,0.0,10.0
2007,10.18.xml,1.0,0.0,56.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,0.0,40.0,2.0,8.0,1.0,1.0,4.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,508.0,0.0,0.0,0.0,10.0
2007,10.2.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,0.0,0.0,0.0,0.0
2007,10.20.xml,1.0,0.0,56.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,0.0,40.0,2.0,8.0,1.0,1.0,5.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,516.0,0.0,0.0,0.0,10.0
2007,10.23.xml,1.0,1.0,59.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,3.0,3.0,2.0,10.0,1.0,2.0,2.0,0.0,42.0,2.0,8.0,1.0,1.0,6.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,544.0,1.0,7.0,1.0,10.0
2007,10.30.xml,1.0,1.0,60.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,5.0,4.0,2.0,10.0,1.0,2.0,2.0,0.0,43.0,2.0,8.0,1.0,1.0,7.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,8.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,585.0,1.0,7.0,1.0,10.0
2007,10.31.xml,1.0,1.0,60.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,5.0,4.0,2.0,10.0,1.0,2.0,2.0,0.0,53.0,2.0,9.0,1.0,1.0,7.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,8.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,585.0,1.0,7.0,1.0,10.0
2007,10.32.xml,1.0,1.0,60.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,5.0,4.0,2.0,10.0,1.0,2.0,2.0,0.0,53.0,2.0,9.0,1.0,1.0,7.0,1.0,10.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,8.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,10.0,10.0,1.0,0.0,1.0,585.0,1.0,7.0,1.0,10.0
2007,10.6.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0
2007,12.1.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0
2007,12.13.xml,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,32.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,113.0,0.0,0.0,0.0,1.0
2007,12.14.xml,1.0,1.0,18.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,35.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,258.0,0.0,0.0,0.0,2.0
2007,12.15.xml,1.0,1.0,18.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,35.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,261.0,0.0,0.0,0.0,2.0
2007,12.3.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0
2007,12.5.xml,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,102.0,0.0,0.0,0.0,1.0
2007,12.6.xml,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,108.0,0.0,0.0,0.0,1.0
2007,12.7.xml,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,21.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,108.0,0.0,0.0,0.0,1.0
2007,12.8.xml,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,21.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,108.0,0.0,0.0,0.0,1.0
2007,12.9.xml,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,107.0,0.0,0.0,0.0,1.0
2007,13.1.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0
2007,13.15.xml,1.0,1.0,40.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,43.0,3.0,7.0,1.0,1.0,2.0,1.0,6.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,6.0,1.0,0.0,1.0,343.0,1.0,5.0,1.0,6.0
2007,13.3.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0
2007,13.4.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0
