Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Quality Description,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2016,1.22.xml,1.0,0.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,28.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,206.0,0.0,0.0,0.0,1.0
2016,10.33.xml,1.0,1.0,60.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,5.0,4.0,2.0,10.0,1.0,2.0,2.0,0.0,53.0,2.0,9.0,1.0,1.0,8.0,1.0,10.0,5.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,10.0,10.0,1.0,0.0,0.0,1.0,629.0,1.0,7.0,1.0,10.0
2016,10.34.xml,1.0,1.0,60.0,2.0,3.0,3.0,3.0,3.0,2.0,10.0,5.0,4.0,2.0,10.0,1.0,2.0,2.0,0.0,48.0,2.0,8.0,1.0,1.0,8.0,1.0,10.0,5.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,10.0,10.0,1.0,0.0,0.0,1.0,629.0,1.0,7.0,1.0,10.0
2016,1034.8.xml,1.0,1.0,15.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,23.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,275.0,1.0,3.0,1.0,4.0
2016,1036.6.xml,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,18.0,2.0,5.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,202.0,1.0,2.0,1.0,3.0
2016,1037.5.xml,1.0,1.0,33.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,46.0,2.0,9.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,428.0,1.0,1.0,1.0,2.0
2016,1038.5.xml,1.0,2.0,17.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,0.0,28.0,3.0,7.0,1.0,1.0,0.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,396.0,0.0,0.0,0.0,7.0
2016,1038.6.xml,1.0,2.0,17.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,0.0,28.0,3.0,7.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,399.0,0.0,0.0,0.0,7.0
2016,1039.5.xml,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,1.0,7.0,1.0,1.0,1.0,0.0,29.0,3.0,8.0,1.0,1.0,2.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,281.0,0.0,0.0,0.0,7.0
2016,1039.6.xml,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,1.0,7.0,1.0,1.0,1.0,0.0,29.0,3.0,8.0,1.0,1.0,2.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,289.0,0.0,0.0,0.0,7.0
