Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Quality Description,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2011,1034.2.xml,1.0,1.0,15.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,23.0,2.0,6.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,251.0,1.0,3.0,1.0,4.0
2011,1034.6.xml,1.0,1.0,15.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,23.0,2.0,6.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,260.0,1.0,3.0,1.0,4.0
2011,1034.7.xml,1.0,1.0,15.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,23.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,263.0,1.0,3.0,1.0,4.0
2011,1035.7.xml,1.0,0.0,7.0,7.0,2.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,1.0,7.0,1.0,7.0,7.0,2.0,17.0,2.0,6.0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,334.0,1.0,3.0,1.0,7.0
2011,1035.8.xml,1.0,0.0,7.0,7.0,2.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,1.0,7.0,1.0,7.0,7.0,2.0,17.0,2.0,6.0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,341.0,1.0,3.0,1.0,7.0
2011,1035.9.xml,1.0,0.0,7.0,7.0,2.0,2.0,1.0,2.0,1.0,7.0,2.0,2.0,1.0,7.0,1.0,7.0,7.0,2.0,18.0,1.0,6.0,1.0,1.0,2.0,1.0,7.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,341.0,1.0,3.0,1.0,7.0
2011,4002.1.xml,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,26.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,310.0,0.0,0.0,0.0,1.0
2011,4002.10.xml,1.0,1.0,10.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,27.0,2.0,5.0,1.0,1.0,0.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,370.0,0.0,0.0,0.0,5.0
2011,4002.12.xml,1.0,2.0,10.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,0.0,27.0,3.0,7.0,1.0,1.0,0.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,397.0,0.0,0.0,0.0,5.0
2011,4002.2.xml,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,26.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,312.0,0.0,0.0,0.0,1.0
2011,4002.4.xml,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,26.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,312.0,0.0,0.0,0.0,1.0
2011,4002.6.xml,1.0,1.0,9.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,26.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,329.0,0.0,0.0,0.0,1.0
2011,4002.7.xml,1.0,1.0,9.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,27.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,330.0,0.0,0.0,0.0,1.0
2011,4003.2.xml,1.0,2.0,35.0,2.0,2.0,2.0,2.0,2.0,1.0,15.0,3.0,3.0,2.0,15.0,1.0,2.0,2.0,0.0,25.0,3.0,5.0,1.0,1.0,0.0,1.0,15.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,15.0,15.0,1.0,1.0,1.0,481.0,0.0,0.0,0.0,15.0
2011,4004.1.xml,1.0,0.0,26.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,0.0,20.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,300.0,0.0,0.0,0.0,1.0
