Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2012,1036.3.xml,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,18.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,185.0,1.0,2.0,1.0,3.0
2012,1036.5.xml,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,18.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,188.0,1.0,2.0,1.0,3.0
2012,1037.2.xml,1.0,1.0,33.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,30.0,2.0,8.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,416.0,1.0,1.0,1.0,2.0
2012,1037.3.xml,1.0,1.0,33.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,45.0,2.0,9.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,416.0,1.0,1.0,1.0,2.0
2012,1037.4.xml,1.0,1.0,33.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,46.0,2.0,9.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,416.0,1.0,1.0,1.0,2.0
2012,1038.2.xml,1.0,2.0,17.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,0.0,27.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,390.0,0.0,0.0,0.0,7.0
2012,1038.3.xml,1.0,2.0,17.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,0.0,28.0,3.0,7.0,1.0,1.0,0.0,0.0,1.0,7.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,383.0,0.0,0.0,0.0,7.0
2012,1039.1.xml,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,3.0,1.0,7.0,1.0,1.0,1.0,0.0,29.0,3.0,7.0,1.0,1.0,0.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,263.0,0.0,0.0,0.0,7.0
2012,1039.2.xml,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,3.0,1.0,7.0,1.0,1.0,1.0,0.0,29.0,3.0,7.0,1.0,1.0,0.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,270.0,0.0,0.0,0.0,7.0
2012,1039.3.xml,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,1.0,7.0,1.0,1.0,1.0,0.0,29.0,3.0,8.0,1.0,1.0,0.0,1.0,1.0,7.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,265.0,0.0,0.0,0.0,7.0
