XPath,4009.2.xml,5019.1.xml,5022.1.xml,5022.9.xml,5023.1.xml,5023.2.xml,5024.10.xml,5025.10.xml,6.55.xml
/eml:eml/dataset/contact/onlineUrl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/organizationName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/phone/@phonetype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage,1.0,1.0,2.0,2.0,7.0,7.0,3.0,1.0,7.0
/eml:eml/dataset/coverage/geographicCoverage/@id,1.0,1.0,2.0,2.0,7.0,7.0,3.0,1.0,7.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,1.0,1.0,2.0,2.0,7.0,7.0,3.0,1.0,7.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,1.0,1.0,2.0,2.0,7.0,7.0,3.0,1.0,7.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,1.0,1.0,2.0,2.0,7.0,7.0,3.0,1.0,7.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,1.0,1.0,2.0,2.0,7.0,7.0,3.0,1.0,7.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,1.0,1.0,2.0,2.0,7.0,7.0,3.0,1.0,7.0
/eml:eml/dataset/coverage/geographicCoverage/datasetGPolygon/datasetGPolygonOuterGRing/gRing,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,6.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1.0,1.0,2.0,2.0,7.0,7.0,3.0,1.0,7.0
/eml:eml/dataset/coverage/taxonomicCoverage,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/@id,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,1.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,2.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,3.0,1.0,1.0,1.0,26.0,26.0,1.0,1.0,10.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,3.0,1.0,1.0,1.0,63.0,63.0,1.0,1.0,41.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/temporalCoverage,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator,6.0,6.0,6.0,6.0,12.0,12.0,4.0,4.0,4.0
/eml:eml/dataset/creator/@id,3.0,3.0,3.0,3.0,6.0,6.0,2.0,2.0,2.0
/eml:eml/dataset/creator/address/administrativeArea,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/city,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
/eml:eml/dataset/creator/address/country,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,4.0,7.0,7.0,7.0,3.0,3.0,5.0,5.0,2.0
/eml:eml/dataset/creator/address/postalCode,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0
/eml:eml/dataset/creator/electronicMailAddress,4.0,4.0,4.0,4.0,10.0,10.0,2.0,2.0,2.0
/eml:eml/dataset/creator/individualName/givenName,2.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/surName,2.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0
/eml:eml/dataset/creator/onlineUrl,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/creator/organizationName,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/creator/phone,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0
/eml:eml/dataset/creator/phone/@phonetype,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
