Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2017_EML,113,113,1.00,100.00%
Abstract,2017_EML,113,113,1.00,100.00%
Attribute Definition,2017_EML,2384,113,21.10,100.00%
Attribute List,2017_EML,221,113,1.96,100.00%
Author,2017_EML,464,113,4.11,100.00%
Author / Originator,2017_EML,464,113,4.11,100.00%
Author / Originator Email Address,2017_EML,276,108,2.44,95.58%
Author / Originator World Wide Web Address,2017_EML,442,113,3.91,100.00%
Bounding Box,2017_EML,710,112,6.28,99.12%
Contributor Name,2017_EML,40,34,0.35,30.09%
Contributor Role,2017_EML,36,34,0.32,30.09%
Distribution Format,2017_EML,133,113,1.18,100.00%
Easternmost Longitude,2017_EML,710,112,6.28,99.12%
End Time,2017_EML,113,113,1.00,100.00%
Entity Type Definition,2017_EML,233,113,2.06,100.00%
Entity and Attribute Information,2017_EML,233,113,2.06,100.00%
Keyword,2017_EML,1532,113,13.56,100.00%
Keyword Vocabulary,2017_EML,395,113,3.50,100.00%
Maintenance,2017_EML,68,68,0.60,60.18%
Metadata Access Constraints,2017_EML,113,113,1.00,100.00%
Metadata Contact,2017_EML,53,53,0.47,46.90%
Metadata Use Constraints,2017_EML,113,113,1.00,100.00%
Northernmost Latitude,2017_EML,687,112,6.08,99.12%
Organization Name,2017_EML,374,113,3.31,100.00%
Originating Organization,2017_EML,155,109,1.37,96.46%
Process Step,2017_EML,110,110,0.97,97.35%
Project Description,2017_EML,45,45,0.40,39.82%
Project Name,2017_EML,442,113,3.91,100.00%
Publication Date,2017_EML,113,113,1.00,100.00%
Related Resource Citation,2017_EML,45,45,0.40,39.82%
Resource Access Constraints,2017_EML,113,113,1.00,100.00%
Resource Contact,2017_EML,240,113,2.12,100.00%
Resource Creation/Revision Date,2017_EML,113,113,1.00,100.00%
Resource Distribution,2017_EML,113,113,1.00,100.00%
Resource Format,2017_EML,133,113,1.18,100.00%
Resource Identifier,2017_EML,113,113,1.00,100.00%
Resource Identifier Type,2017_EML,113,113,1.00,100.00%
Resource Language,2017_EML,113,113,1.00,100.00%
Resource Lineage,2017_EML,110,110,0.97,97.35%
Resource Long Name,2017_EML,113,113,1.00,100.00%
Resource Status,2017_EML,113,113,1.00,100.00%
Resource Title,2017_EML,113,113,1.00,100.00%
Resource Use Constraints,2017_EML,113,113,1.00,100.00%
Resource on-line Link,2017_EML,113,113,1.00,100.00%
Rights,2017_EML,113,113,1.00,100.00%
Security Constraints,2017_EML,113,113,1.00,100.00%
Southernmost Latitude,2017_EML,687,112,6.08,99.12%
Spatial Extent,2017_EML,710,112,6.28,99.12%
Start Time,2017_EML,113,113,1.00,100.00%
Supplemental Information,2017_EML,5,5,0.04,4.42%
Taxonomic Extent,2017_EML,1,1,0.01,0.88%
Temporal Extent,2017_EML,113,113,1.00,100.00%
Unknown,2017_EML,20844,113,184.46,100.00%
Vertical Maximum,2017_EML,320,65,2.83,57.52%
Vertical Minimum,2017_EML,320,65,2.83,57.52%
Vertical Resolution,2017_EML,65,65,0.58,57.52%
Westernmost Longitude,2017_EML,710,112,6.28,99.12%
