Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,NTL_2013_EML,19.0,19.0,1.0,1.0
Resource Identifier,NTL_2013_EML,19.0,19.0,1.0,1.0
Resource Title,NTL_2013_EML,19.0,19.0,1.0,1.0
Author / Originator,NTL_2013_EML,55.0,19.0,2.89,1.0
Metadata Contact,NTL_2013_EML,19.0,19.0,1.0,1.0
Contributor Name,NTL_2013_EML,2.0,2.0,0.11,0.10526315789473684
Publisher,NTL_2013_EML,19.0,19.0,1.0,1.0
Publication Date,NTL_2013_EML,15.0,15.0,0.79,0.7894736842105263
Resource Contact,NTL_2013_EML,31.0,19.0,1.63,1.0
Abstract,NTL_2013_EML,19.0,19.0,1.0,1.0
Keyword,NTL_2013_EML,346.0,19.0,18.21,1.0
Resource Distribution,NTL_2013_EML,19.0,19.0,1.0,1.0
Spatial Extent,NTL_2013_EML,19.0,19.0,1.0,1.0
Taxonomic Extent,NTL_2013_EML,0.0,0.0,0.0,0.0
Temporal Extent,NTL_2013_EML,19.0,19.0,1.0,1.0
Maintenance,NTL_2013_EML,19.0,19.0,1.0,1.0
Resource Use Constraints,NTL_2013_EML,19.0,19.0,1.0,1.0
Process Step,NTL_2013_EML,19.0,19.0,1.0,1.0
Project Description,NTL_2013_EML,16.0,16.0,0.84,0.8421052631578947
Entity Type Definition,NTL_2013_EML,21.0,13.0,1.11,0.6842105263157895
Attribute Definition,NTL_2013_EML,803.0,17.0,42.26,0.8947368421052632
Resource Access Constraints,NTL_2013_EML,19.0,19.0,1.0,1.0
Resource Format,NTL_2013_EML,32.0,17.0,1.68,0.8947368421052632
Attribute List,NTL_2013_EML,32.0,17.0,1.68,0.8947368421052632
Attribute Constraints,NTL_2013_EML,0.0,0.0,0.0,0.0
Resource Quality Description,NTL_2013_EML,0.0,0.0,0.0,0.0
