XPath,NTL_2005_EML,NTL_2006_EML,NTL_2007_EML,NTL_2008_EML,NTL_2009_EML,NTL_2010_EML,NTL_2012_EML,NTL_2013_EML,NTL_2014_EML,NTL_2015_EML,NTL_2016_EML,NTL_2017_EML,NTL_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.48,0.27,0.41,0.41,0.49,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0
/eml:eml/access/@authSystem,0.52,0.73,0.59,0.59,0.51,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.52,0.73,0.59,0.59,0.51,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.52,0.73,0.59,0.59,0.51,0.67,1.0,1.0,1.0,0.99,1.0,1.0,1.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,1.03,1.46,1.17,1.19,1.03,1.33,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,1.03,1.46,1.17,1.19,1.03,1.33,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.22,0.04,0.39,0.42,0.31,0.5,0.36,0.71,0.3,0.45,0.71,0.49,0.71
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,0.48,0.06,0.5,0.92,0.63,1.06,0.57,2.79,0.3,0.95,1.41,0.53,1.86
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,0.29,0.03,0.35,0.58,0.57,0.78,0.41,1.68,0.2,0.59,0.83,0.31,0.71
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,0.55,0.06,0.87,1.09,0.66,1.56,0.77,3.96,1.9,1.33,1.98,1.21,2.43
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,0.29,0.03,0.35,0.58,0.57,0.78,0.41,1.68,0.2,0.59,0.83,0.31,0.71
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,0.48,0.06,0.5,0.92,0.63,1.06,0.57,2.79,0.3,0.95,1.41,0.53,1.86
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,0.29,0.03,0.35,0.58,0.57,0.78,0.41,1.68,0.2,0.59,0.83,0.31,0.71
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,0.48,0.06,0.5,0.92,0.63,1.06,0.57,2.79,0.3,0.95,1.41,0.53,1.86
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,0.39,0.04,0.43,0.83,0.63,0.94,0.48,2.14,0.3,0.76,1.1,0.42,1.29
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
