Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Process Step,Project Description,Project Name,Publication Date,Publisher,Publisher E-Mail,Publisher URL,Purpose,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Quality Description,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Temporal Keyword,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2015,2719.5.xml,1.0,2.0,16.0,1.0,3.0,3.0,2.0,3.0,0.0,6.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,12187.0,0.0,0.0,0.0,0.0
2015,2719.6.xml,1.0,2.0,16.0,1.0,3.0,3.0,2.0,3.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12188.0,0.0,0.0,0.0,1.0
2015,2720.7.xml,1.0,4.0,23.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2812.0,0.0,0.0,0.0,0.0
2015,2720.8.xml,1.0,4.0,23.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2813.0,0.0,0.0,0.0,1.0
2015,2721.5.xml,1.0,2.0,23.0,1.0,2.0,2.0,1.0,2.0,0.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,959.0,0.0,0.0,0.0,0.0
2015,2721.6.xml,1.0,2.0,23.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,960.0,0.0,0.0,0.0,1.0
2015,2722.5.xml,1.0,2.0,13.0,1.0,2.0,2.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,342.0,0.0,0.0,0.0,0.0
2015,2722.6.xml,1.0,2.0,13.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,343.0,0.0,0.0,0.0,1.0
2015,2725.6.xml,1.0,2.0,15.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,396.0,0.0,0.0,0.0,1.0
2015,2726.6.xml,1.0,2.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,331.0,0.0,0.0,0.0,1.0
